y ,انگريزي حروف تھجي کا پچيسواں حرف ـ وائي
yacht ,بجرا ـ ڈونگي ـ هلکي بادباني يا دخاني کشتي
yachtclub ,ناؤ دوڑ کلب
yachting ,کشتي دوڑ کے مقابلے کيلئے مشق کرنا ـ بجرے ميں سفر کرنا
yachtman ,ناؤ دوڑ ميں شريک هونے والا ـ ناؤ چلانے والا
yachtmen ,کشتي بان جمع
yaffle ,سبز هدهد ـ سبز رنگ کا کٹھ پھوڑ پرنده
yager ,جرمن فوجي پلٹن کا سپاهي
yah ,اونهه ـ چل هٹ ـ پرے هٹ ـ دور هو
yahoo ,بن مانس ـ جنگلي آدمي ـ گوريلا ـ وحشي آدمي
yak ,ملک تبت کا بيل ـ ياک
yaklace ,ليس جو ياک کے بالوں سے بنائي جاتي هے
yam ,ايک قسم کي ترکاري
yama ,پهلا فاني انسان ـ پاتال کا ديوتا ـ ملک الموت
yamen ,چيني حاکم کي سرکاري سرکاري قيام گاه
yank ,جھٹکا
yankee ,امريکه کي شمالي رياست نيو انگلينڈ کا باشنده
yankeedom ,اهل امريکه کي زبان اور طرز معاشرت
yankeedoodle ,امريکه کا قومي گيت
yankeefied ,جس پر امريکي تهذيب کا رنگ هو
yankeeism ,امريکي دستوت ـ امريکي معاشرت ـ امريکيت
yankeenotions ,امريکه والوں کے خيالات
yap ,بھونکتے هوئے ـ  رھ رھ کر بھونکنا
yapock ,جنوبي امريکه کا تھيلي دار اود بلاؤ
yapp ,نرم چمڑي کي جلد جس کا چمڑا کناروں کو ڈھک ليتا هے اور کتاب کے کناروں سے آگے نکلا هوا هوتا هے
yapper ,بھونکنے والا
yapping ,بھونکتا هوا
yarborough ,تاش کا هاتھ جس ميں کوئي پته نهلے سے بڑا نه هو
yard ,پتلي ـ گز ـ درعه ـ احاطه ـ باڑاـ زمين کا قطعه جو عمارتوں سے گھرا هو ـ صحن ـ آنگن ـ چوک
yardage ,باڑے ميں موشي رکھنے کا محصول
yarn ,سوت ـ تاگا ـ تار ـ ڈوري ـ قصه ـ کهاني
yarrow ,ايک سدا بھار تيز بو کا پودا
yashmak ,دوهري نقاب جو مسلمان عورت گھر کے باهر چهره پر ڈالتي هيں
yataghan ,ايک لمبا خنجر ـ تيغا جو ترک استعمال کرتے هيں
yaw ,عارضي طور پر جھاز کا راسته چھوڑ دينا
yawl ,چينخنا ـ چلانا ـ چيخ پکار
yawling ,چيختا هوا
yawn ,سستي کي وجه سے گهري سانس لينا شگاف ـ جمائي
yawner ,جمائي لينے والا
yawningly ,جمائي ليتے هوئے
yaws ,گرم ملکوں کي ايک متعدي بيماري جس ميں جلد گمڑے پڑ جاتے هيں
ybranch ,دوشاخه ٹهني
yclept ,کهلانے والا ـ کهلاتا هے
ycross ,وه نشان جو لباس عبادت پر بناتے هيں ـ دو شاخه صليب
ye ,تم ـ آپ ـ آپ لوگ
yea ,هاں ـ البته ـ يقيناً ـ درحقيقت
yean ,بھيڑ يا بکري کا بچه دينا
yeanling ,بھيڑ بکري کا چھوٹا بچه
year ,برس ـ سال
yearbook ,ايسي کتاب جو ايک سال کي ساري معلومات هوں
yearinyearout ,سال بھر
yearling ,ايک سال کا جانور
yearlong ,سال بھرکا
yearly ,هر سال هونے والا ـ سالانه
yearn ,شوق سے چاهنا ـ بے حد شوق هونا ـ دلي آرزو هونا
yearner ,شوق سے چاهنے والا
yearning ,خواهش
yearningly ,اشتياق کے ساتھ
yearofgrace ,سن عيسوي
yeartiness ,چھچھورا پن ـ فضول گوئي ـ خمير آنا ـ هيجان
yeast ,خمير ـ پھين
yeastpowder ,خمير اٹھانے کا سفوف
yeasty ,خمير آيا هوا ـ جھاگ دار
yegg ,سفري چورـ تجوري توڑ کرچوري کرنے والا
yell ,چيخنا ـ چلانا ـ غل مچانا
yeller ,چيخنے والا
yelling ,چيختا هوا
yellow ,پيلا ـ زرد
yellowgum ,شير خوار بچوں کا يرقان
yellowhammer ,ايک زرد رنگ کا پرنده
yellowish ,پيلا سا
yellowly ,رقيبانه انداز
yellowmetal ,دھات
yellowness ,پيلا پن ـ زردي
yellowy ,زردي مائل
yelp ,بھونکنا ـ کتے کي طرح چلانا
yelper ,بھونکنے والا
yen ,ايک جاپاني سکه
yeoman ,داروغه ـ مهتمم
yeomanry ,معافي داروں کي جماعت
yeomen ,زميندار ـ لگاندار
yes ,هاں ـ اچھا ـ بھت اچھا ـ به سر چشم
yester ,گزرے هوئے کل کا
yesterday ,گزشته دن ـ کل
yesteryear ,گزشته سال
yet ,اس کے سوا ـ اس کے علاوه ـ ماسوا
yew ,ايک سدا بھار درخت
yggdrasil ,ايک افسانوي درخت
ygun ,تار پيڈو مارنے کي دو شاخه توپ
yiddish ,ايک مضبوط يا بگڑي هوئي عبراني زبان جو جرمني اور پولينڈ کے يهودي بولتے هيں
yield ,مهيا کرنا ـ پيدا کرنا ـ حاصل کرنا ـ فصل دينا
yielder ,مهيا کرنے والا ـ حاصل کرنے والا
yielding ,رضا مند ـ بات مان لينے والا
yieldthepalm ,پيچھے ره جانا ـ مغلوب هوجانا
yieldthepoint ,بات مان لينا
yieluptheghost ,جان دے دينا
ylangylang ,ملايا کا ايک درخت جس کے پھول خوشبودار هوتے هيں اور ان کا عطر کشيد کيا جاتا هے
ymoth ,ايک پتنگا
