i,انگريزي حروف تهجي کا نواں حرف
iambic,کسي نظم جسکا پهلا جز غير تاکيدي هو اور دوسرا تاکيدي
iberian,ايبريا کي زبان اور باشنده
ibex,کوه ايلپس اور اپنائن کا بکرا
ibis,ايک قسم کا پرنده
ice,برف هو جانا ـ جمنا ـ برف
iceberg,برف تا توده
icebox,برف خانه
icefall,برف کا گرنا
icehouse,برف خانه
ichneumon,ايک قسم کا نيولا
ichnography,نقشه کشي ـ خاکه کشي
ichor,ايسا ماده جو ديوتاؤں کي رنگوں ميں خون کي بجائے هوتا هے ـ زرد آب
ichorous,ديوتائي ـ زرد آبي
ichthyologist,ماهر سمکيات
ichthyology,مچھليوں کا علم
icicle,برف کا علم
iciness,بے پروائي ـ سرد مهري
icing,کسي چيز پر شکر کي تهه
ickle,تھوڑا سا ـ ذرا سا
ickonography,بتوں اور مورتيوں کا تذکره
icon,بت ـ مورتي ـ شبيه ـ مجسمه
iconic,مورتي کا ـ بت کا
iconoclast,قديم رسموں کو توڑنے والا ـ بت شکن
iconolater,بت پرستي
iconomachy,بت يا تصوير پرستي کي مخالفت
icy,برف سے معمور ـ برف کا
icymanners,سرد مهري ـ بے مروتي
idea,خيال ـ تصور ـ فکر ـ رائے ـ ادراک
ideal,وهمي ـ قياس ـ خيالي مثالي
idealism,تصوريت ـ مثاليت
idealist,تصوري ـ عيني ـ مثال پسند
idealization,کامل نمائي
idealize,کامل ظاهر کرنا
ideate,ذهن ميں لانا ـ تصور کرنا
ideation,عمل تصور
identical,اسي شکل کي ـ وهي ـ ويسي هي
identification,پهچان ـ شناخت
identifier,شناخت کرنے والا
identify,ايک سمجھنا ـ ايک جاننا ـ پهچاننا
identity,کامل مطابقت ـ يکسانيت ـ نام و نشان
ides,قديم روميوں کي تقويم ميں بعٰض مهينوں کي پندرهويں اور تيرهويں تاريخيں
idiocy,ضعف عقل ـ سودا ـ خبط
idiom,محاوره ـ بولي
idiomatic,با محاوره ـ لسائي طور پر درست
idiomatically,بامحاوره
idiopathy,اصلي عارضه
idiosyncrasy,مخصوص جذبه يا خيال ـ مخصوص طرز بيان
idiot,احمق ـ ساده لوح ـ بيوقوف
idiotic,احمقانه
idiotical,احمقانه پن
idiotically,احمقانه پن سے
idle,بے کار ـ بے شغل ـ سست ـ مجهول ـ ناکاره ـ بے فائده ـ ضائع کرنا
idleness,آرام طلبي ـ بے کاري
idler,کاهل
idly,کاهلي سے
idol,بت ـ مورتي ـ صنم ـ محبوب
idolater,بت پرستي ـ پوجنے والا
idolatrous,بت پرستي سے متعلق
idolatry,پر جوش محبت ـ صنم پرستي
idolise,بت بنانا ـ معبود بنا کر پوجنا ـ بت پرستي کرنا
idoliser,بت پرستي کرنے والا
idolism,بت پرستي
idolization,معبود بنا لينا ـ حد سے زياده احترام ـ بت پرستي
idolize,بت بنانا ـ معبود بنا کر پوجنا ـ بت پرستي کرنا
idolizer,معبود بنا کر پوجنے والا
idyl,ديهاتيوں کے چھوٹے چھوٹے گيت
idylist,ديهاتي گيت لکھنے والا
idyll,ديهاتيوں کے چھوٹے چھوٹے گيت
idyllist,ديهاتي گيت لکھنے والا
if,اگر ـ جيسے ـ بالفرض
igneous,آگ کا ـ آگ کا بنا هوا
ignitable,آتش گير ـ جلنے کے قابل
ignite,آگ لگانا ـ آگ پکڑنا
igniter,آگ لگانے والا
ignition,آتش گيري
ignoble,کمينه ـ کم ظرف ـ کم اصل
ignominious,باعث رسوائي
ignominy,بدنامي ـ رسوائي
ignoramus,جاهل ـ احمق
ignorance,ناداني ـ احمق
ignorant,بے علم ـ ناواقف ـ جاهل
ignorantly,بے علمي سے
ignore,کچھ خيال نه کرنا ـ تجاهل پرتنا ـ نظر انداز کرنا ـ انجان بننا
ignorer,نظر اندار کرنے والا ـ خيال نه کرنے والا
ignoring,انجان بننا
iliac,پيٹره کے متعلق ـ کولھے کي هڈي کا
iliad,هومر کي مشهور رزميه نظم
ilk,اهي ـ اسي کا
ill,عليل ـ بيمار
illation,حاصل ـ نتيجه ـ استنياط ـ پھل
illative,نتيجه خيز ـ استخراجي
illegal,غير قانوني ـ خلاف قانون
illegality,ناجائز هونا
illegally,غير قانوني طور پر
illegibility,ايسي تحرير جو نه پڑھي جاسکے ـ بدخطي
illegible,جو پڑھا نه جاسکے ـ بدخط
illegitimacy,غير شرعي هونا ـ خلاف قانون هونا
illegitimate,ناجائز ـ خلاف شرح
illegitimately,ناجائز طور پر
illiberal,کنجوس ـ بے فيض ـ بے مروت
illiberality,انائت ـ تنگ دلي ـ بخل
illiberally,تنگ دلي سے ـ کمينه پن سے
illicit,ناروا ـ ناجائز ـ خلاف قانون
illicitly,ناجائز طور پر
illimitable,بے حد ـ لامتناهي ـ لامحدود
illiteracy,کم علمي ـ جهل
illiterate,جاهل ـ بے علم ـ ان پڑھ
illiterateness,ان پڑھ هونا ـ بے علمي ـ ناخواندگي
illness,روگ ـ بيماري ـ مرض ـ شرارت ـ بدي
illogical,بے دليل ـ خلاف منطق ـ غير معقول
illogicality,غير معقول هونا
illume,روشن کرنا ـ درخشاں کرنا
illuminable,روشن کرنے کے قابل
illuminate,روشن کرنا ـ منور کرنا ـ درخشاں کرنا
illumination,درخشائي ـ تاباني
illuminative,روشن کرنے والي
illuminator,روشن کرنے والا
illumine,روشن کرنا ـ تابان کرنا ـ قلب و دماغ کو روشن کرنا
illusion,فريب ـ دھوکا ـ فريب نظر
illusionary,فريب خيالي
illusionist,هستي کو فريب نظر سمجھنے والا
illusive,پرفريب ـ فريب ده
illusiveness,فريب دهي ـ دھوکا دهي
illusory,پر فريب ـ باطل کا
illustrate,شرح کرنا ـ توضيح کرنا ـ روشن کرنا
illustration,تشريح ـ بيان
illustrative,تشريحي ـ تمثيلي
illustrator,مثالوں اور نقشوں سے واضح کرنے والا
illustrious,روشن ـ تاب دار ـ مشهور ـ معروف ـ عالي مرتبه
image,مورت ـ شکل ـ صورت ـ مجسمه
imagery,صورتيں ـ مورتيں ـ مجسمے
imaginable,قابل تصور
imaginary,قياسي ـ فرضي
imagination,تخثيل ـ تصور
imaginative,پر خيال ـ پر تخيل ـ مضمون خيز
imaginatively,پر خيالي سے
imaginativeness,بلند فکر هونا ـ صاحب تخيل هونا
imagine,تصور کرنا ـ قياسي کرنا ـ خيال کرنا
imaginer,تصور کرنے والا ـ خيال کرنے والا
imbecile,ضعيف العقل ـ بيوقوف
imbecility,ناتوائي ـ نامردي
imbibe,پي لينا ـ جذب کر لينا ـ چوس لينا
imbiber,جذب کرنے والا ـ پي لينے والا
imbibition,جمع کرنا ـ جذب کرنا
imbroglio,پيچيده معامله ـ گتھي ـ گهري سازش
imbrue,آلوده کرنا
imbue,رنگنا ـ گهرا رنگنا
imitable,پيروي کے قابل
imitate,نقل کرنا ـ پيروي کرنا ـ تقليد کرنا
imitation,پيروي ـ اتباع ـ نقل
imitative,تقليدي ـ نقلي ـ اتباع کرنے والا
imitator,پيروي کرنے والا
immaculate,بے عيب ـ بے داغ ـ بے گناه ـ معصوم ـ پاک ـ صاف ـ مصفا
immaculately,بے عيبي
immaculateness,صفائي ـ بے داغ هونا
immaterial,غير مادي ـ غير مجسمي ـ باقابل لحاظ
immaterialism,يه عقيده که همارے شعور سے عليحده ماده کا کوئي وجود نهيں ـ شعوريت
immaterialist,اعيان ثانته کے علمي وجود کا عقيده
immature,کچا ـ خام ـ نامکمل
immaturity,نابالغي ـ ناتجربه کاري
immeasurable,بے حد ـ بے پايان ـ عظيم
immeasurably,بے اندازه ـ بے حد
immediate,قريب ـ نزديک ـ جلد ـ فيالفور ـ حاضر
immediately,في الفور ـ جلد
immemorial,پرانا ـ قديم ـ عميق
immense,لا انتها ـ بے حد ـ عظيم
immensely,بکثرت ـ نهايت
immerse,ڈبونا ـ دفن کرنا ـ گاڑنا ـ غوطه دينا
immersion,اغراق ـ غوطه خوري
immigrant,مہاجر ۔ غریب الوطن ۔
immigrate,وطن تبدل کرنا ـ کسي ديس ميں آ بسنا ـ هجرت کرنا
immigration,ترک وطن ـ هجرت ـ غير ملک کي سکونت پذيري
imminence,نزول
imminent,سر پر کھڑا ـ نازل هونے والا ـ قريب
imminently,سر پر منڈلاتے هوئے
immitigable,نرم نه هونے والا
immix,ملاوٹ کرنا ـ شرکت کرنا
immixture,آميزش ـ ملاوٹ
immobile,ساکن ـ ناقابل حرکت
immobilization,غير متحرک کرنا
immobilize,بے حرکت کرنا
immobilizer,بے حرکت کرنے والا ـ غير متحرک کرنے والا
immoderate,غير واجب ـ غير معقول
immoderately,غير معتدلي
immoderation,غير معتدل ـ غير واجب
immodest,شيخي باز ـ بدتميز
immodestly,بے حيائي سے
immodesty,بے غيرتي ـ بے حيائي
immolate,بھينٹ چڑھانا ـ قرباني دينا ـ قرباني کرنا
immolating,قرباني
immolation,چڑھاوا ـ قرباني
immoral,برا ـ زبوں ـ فاسق
immorality,بدفعلي ـ بدکرداري
immorally,بداخلاقي سے ـ فاجرانه
immoratalizatio,حيات ابدي نخشنا ـ زنده جاويد کرنا
immortal,لافاني ـ قائم ـ دائم
immortality,ابديت ـ هميشگي
immortalize,حيات ابدي دينا ـ زنده جاويد کرنا
immortally,بهت ـ بے حد
immovable,ساکن ـ بے حرکت
immune,محفوظ ۔ مامون ۔
immunity,چھٹکارا ـ بے خوفي ـ معافي
immunization,معافي ـ مستشني
immunize,معافي دينا ـ محفوظ کرنا
