s,انگريزي حروف تھجي کا انيسواں حرف
sabaism,صابيت ـ اجرام فلکي کو ذي روح سمجھنا ـ ستاري پرسي
sabaoth,خدائے برتر ـ انسانوں کا خالق ـ انسانوں کا پروردگار
sabbatarianism,يوم سبت کو ماننا ـ آرام اور عبادت کے دن کا احترام کرنا
sabbath,آرام اور عبادت کا دن
sabbathless,بلا سبت هونا ـ لاسبتي
sabbatic,يوم سبت کے متعلق
sabbatical,يوم سبت کے متعلق
sabbaticalriver,يهوديوں کئ عقيده کيمطابق ند جو سبت کو نهيں بھتي تھي
sabbaticalyear,سبيت سال
sabbatize,يوم سبت منانا
sabean,يمن کا علاقه سبا کا باشنده ـ سبائي
sabellian,سبيلس کا هيرو ـ يه عقيده که باپ بيٹا اور روح القدس خدا هي کے پرتو هيں
sabian,صائيبي ـ ايک ستاره پرست فرقه جسکا ذکر قرآن ميں آتا هے ـ اور جو ناجي هے
sabine,سبيني ـ ايک قديم قوم جو اٹلي ميںآباد تھي
sable,منطقه شمالي کا ايک جانور
sabled,سياه ـ ماتمي ـ مغموم
sably,ماتمي رنگ سے ـ مغمومانه ـ دل گير هوکر
sabot,کھڑاؤں ـ لکڑي کے جوتے
sabotage,کلوں اور دوسرے سامان کو خراب کرنا ـ شرارت سے کام خراب کرنا
saboted,شام دار ـ کھڑاويں پهننے هوئے
sabres,تلوار سے وار کرنا ـ سيف ـ تلوار
sabretache,چرمي تھيله جو رساله کے افسر تلوار کي پيٹي سے نکال ليتے هيں
sabreur,تيغ زن سوار
sabulous,ريت کا ـ ريگ مثانه کا ـ ريگساني
sabura,ريگ معده ـ ايک رتيلا ماده جو هاضمه کي خرابي سے معده ميں جمع هو جاتاهے
sac,تھيلي ـ زيبيل ـ پھوڑا ـ دنبل
saccate,پھولا هوا ـ ابھرا هوا
saccharin,کوئلے سے نکالي هوئي شکر
saccharine,کوئلے سے نکالي هوئي شکر
sacciform,تھيلي کي طرح کا ـ کيسه نما
saccule,چھوٹي تھيلي ـ بٹوا
sacerdoalist,مشائخ پرست ـ پير پرست
sacerdotage,مذهبي گروه کي حکومت ـ حکومت الهيه
sacerdotal,متبرک ـ پاک ـ مولويانه ـ مشائخانه
sacerdotalism,علمائے دين کي حکومت
sack,بورا ـ لباده ـ تخت و تاراج کرنا ـ تباه کرنا ـ لوٹ مار کرنا
sackbut,ايک قسم کا طنبوره
sackcloth,ماتمي لباده ـ سن کا کپڑا ـ ٹاٹ
sackful,اتنا جتنا ايک بورے ميں سما سکے ـ تھيلا بھر
sacrament,حضر عيسي کي وفات کا         ياد گاري ـ توشه برکت ـ خير و برکت
sacramental,فضل رب کے متلعق ـ مقدس رسم کے متعلق
sacramentalism,اس عقيده انکار که عشائے رباني کي روٹي اور شراب حضرت مسيح کا جسم اور خون هے ـ انکار حضوري
sacramentarian,منکر حضوري ـ وه عيسائي جو کليسائے روم کے طريق پر نهيں چلنا
sacrarium,گھر کے اندر عبادت خانه جھاں متبرک چيزيں رکھي جاتي هيں
sacred,پاک ـ مقدس ـ متبرک ـ واجب ـ التعظيم
sacredduty,وه اسے ايک مقدس فرض سمجھنا هے
sacredly,احترام و تعظيم کے ساتھ
sacredness,باکي ـ تقدس ـ پاکيزگي
sacrifice,قرباني ـ نياز ـ نذر
sacrificer,قرباني دينے والا ـ نذر کرنے والا
sacrificial,نياز کا ـ قرباني کے متعلق
sacrilege,دييني يا متبرک چيز کي بے حرمتي ـ مقدس مقام ميں چوري کرنا
sacrilegious,ناپاک ـ بے ادبي کرنے والا
sacrilegist,مقدس مقام يا چيز کي بے حرمتي کرنے والا
sacring,عشائے رباني کے اجزا تقدس ـ اسقفوں کي تقرير کي رسم
sacrist,مقدس گائے گيتوں کا انتخاب کرنے والا
sacristan,محافظ ـ مهتم نوادرات
sacristy,گرجا ميں متبرک چيزوں کو رکھنے کا کمره
sacrosancity,واجب الاحترام هونا ـ مقدس هونا
sacrosanct,مقدس ـ متبرک ـ واجب التعظيم
sad,اداس ـ غمگين ـ دلگير ـ مغموم ـ زيون
sadden,ملول هونا ـ اداس کرنا ـ مغموم کرنا
saddish,اداس سا ـ آزرده سا
saddle,کاٹھي ـ زين ـ چار جامه ـ زين کسنا
saddlehorse,سواري کا گھوڑا
saddlepast,شه سوار ـ زين پر م کر بيٹھنے والا
saddler,زين ساز ـ زين فروش
saddlery,زين گري ـ زين سازي
sadducee,يهوديوں کا ايک فرقه
sadism,ايذا رسان ـ اغلام
sadly,آزردگي سے ـ دلگير هو کر ـ مايوسي سے
sadness,اداسي ـ مايوسي ـ غمگين
safe,محفوظ ـ صحيح سالم ـ مامون ـ بلا خوف خطر ـ بے ضرر
safeconduct,راهداري کا پروانه
