tab,چمڑے کا چھوٹا ٹکرا ـ جيب کا پرده ـ بند ـ تکمه ـ دم چھلا
tabard,غريب طبقه کا قديم لمبا کرته ـ بے آستين کا جامپ
tabaret,موٹا ريشمي کپڑا
tabasheer,بنسن لوچن ـ طباشير
tabby,دھاربدار ـ لهربا کپڑا ـ رنگ برنگ کپڑا
tabefaction,نقابت ـ بيماري سے کمزور هونا
tabefy,کمزورکردينا ـ گھلانا
tabernacle,ڈيره ـ خيمه ـ چھولداري ـ شاميانه
tabernacled,جس ميں چھجے اور طاق هوں ـ کٹاؤ کے کام کا
tabernacular,جالي دار ـ چھجے دار
tabes,سوکھا ـ بيماري جس ميں آدمي گھلتا چلا جائے
tabescence,سوکھے کي بيماري لگنا
tabescent,سوکھے کا مريض
tabescentude,سوکھے کي بيماري لگنا
tabidly,سوکھے مريض کي طرح
tabitic,سوکھے کا مريض
tablature,مصوري جو ديوار اور چھت پر کي جائے ـ ذھني نقش يا تصوير
table,ميز ـ دستر خواں ـ مانده ـ ضيافت ـ خانه ـ فهرست ـ نقشه
tableau,تصوير ـ نقشه ـ شبيه
tableaucurtains,تماشا گاه کي قناعت
tablecloth,ميز هوش
tableful,ميز بھر
tableland,بلندی پر ہمواری زمین ۔
tableofcontents,فہرت مضامین ۔
tablespoon,کھانے کا چمچه
tablet,تختي ـ لوح ـ ٹکيا
tabletalk,گپ شپ ـ کھانے کے دوران گفتگو
tablewater,معدني پاني جو کھانے پر بوتلوں ميں ميز پر رکھتے هيں
tablier,پیش بند ۔ ایسا کپڑا جو عورتیں کام کرتے وقت اوپر لپیٹ لیں ۔ پیش دامن ۔
tabloid,کيماوي پيداوار ـ اخبار
taboo,کسي چيز کو حرام قرار دينا
tabor,ڈھولک ـ طنبوره
tabouret,اڈا ـ کشيده کاري کا چوکھٹا ـ تپاهي
tabula,کسي چيزکي چکني سطح ـ لکھنے کي ميز
tabular,ميز نما ـ نقشه دار ـ مسطح
tabulate,مرتب کرنا ـ فهرست تيار کرنا ـ مسطح کرنا
tabulation,خاکه ـ فهرست ـ جدول
tabulator,مرتب کرنے والا ـ فهرست تيار کرنے والا
tacautac,تيغ زني کے مقابلے ميں حريف کا وار روکنا اور وار کرنا
tache,چمٹي ـ آنکڑا ـ بک
tachometer,پيمائش کا آله
tachometery,پيمائش کا آله ـ سرعت ناپنے کا آله
tacit,چپ ـ خاموش ـ چپ چاپ
tacitconsent,سکوت سے جواب دينا
tacitly,خاموشي سے
taciturn,خاموش ـ کم گو
taciturnity,خاموشي ـ کم سختي
tack,کوکا ـ کيل ـ ڈوپ ـ لمبے لمبے ٹانکے ـ پال کي رسي ـ کھانا ـ غذا
tacker,کيليں جڑنے والا
tackey,منه بند
tackhammer,کيليں نکالنے اور جڑنے کي هتھوڑي
tackiness,چپ چاپ رهنا ـ خاموشي
tacking,اگر ـ مرتهن اول نے نوٹس نهيں ديا تو مرتهن دوم کا حق مرجع هوگا
tackle,جهاز پر سامان چڑھانے اور اتارنے کي کل ـ پردے وغيره ـ سامان حرب
tackler,مقابله کرنے والا ـ حريف کو روکنے والا
tackling,کسی کا م کا ضروری سامان ۔
tact,موقع شناسي ـ مودم شناسي ـ حکمت ـ هوشياري
tactful,هوشياري کا ـ هوشيار
tactical,جوڑ توڑ کا ـ موقع کي مناسبت کا ـ شاطرانه ـ استادانه
tactically,حکمت سے ـ مدبرانه طور پر
tactician,فنون جنگ کے ماهر
tactics,جنگ کے داؤں پيچ ـ چاليں ـ جوڑ توڑ
tactile,چھونے کے قابل ـ چھو کر معلوم کرنے کے قابل
tactility,چھوئے جانے کي صفت
tactless,بے تکے پن کا ـ پھوهڑ ـ ناتجربه کار
tactlessness,محل شناسی ۔ بے تکا پن ۔
tactual,لمس کے قابل
tadpole,منڈک کے بچے اپني ابتدائي شکل ميں هيں
