j,انگريزي حروف تھجي کا دسواں حرف,
jab,بھونک دينا ـ نوکدار آله سے زخمي کرنا ـ گھونسه ـ مکه,
jabber,بيهوده کرناـ بک بک کرنا,
jabberer,بک بک کرنے والا,
jabbingly,بيهودگي,
jabiru,امريکه کا اايک آبي پرنده,
jacinth,سرخي مائل نارنجي رنگ کا ايک قيمتي پتھر,
jack,معمولي انگريزي نام ـ نتھو ـ معمولي آدمي ـ تاش کا غلام,
jackal,گيدڑ,
jackanapes,بندر ـ مسخرا ـ شرير آدمي,
jackass,احمق ـ گدھا ـ بيوقوف,
jacket,چھوٹا کوٹ,
jackinoffice,چھوٹے سے عهديپر غرور کرنا والا,
jackofalltrades,هر فن مولا,
jacob,حضرت يعقوب عليه السلام,
jacobin,عيسائيوں کے ايک فرقے کا راهبـ ايک کبوتر ـ حکومت کا مخالف,
jacobite,انگلستان کے بادشاه جيمس ثاني کا حامي,
jacobus,جيمس اول بادشاه انگلستان کے عهد کا طلائي سکه,
jactitation,بے چيني ـ علالت کي بے چيني ـ اعضا شکني,
jade,تھکا هوا گھوڑاـ نيک بخت عورت ـ تھکا دينا ـ نيلم,
jadish,برا ـ بد ـ سرکش,
jag,داندے دار يا نا هموار بنا دينا ـ کسي چيز کو بري طرح کاٹنا,
jail,قيد خانه,
jain,جين مت کا هيرو ـ جين,
jakarta,جکارته,
jalap,گل عباسي کي جڑ جو مسهل کا کا م ديتي هے,
jam,دو چيزوں کے درميا ن رکھ کر دبانا ـ کسي پرزے کا اس چرح جم جانا  که وه حرکت نه کر سکے,
jamaica,جميکا ـ ايک شهر کا نام,
jamaican,جميکا کے رهنے والا,
jamb,دروازے کا چوکھٹا ـ پاکھا ـ هٹ,
jamboree,جشن جلسه,
jane,جنيوا کا سکه ـ ايک موٹا کپڑا,
jangle,بے تال اور بے سر بجانا ـ جھنجھنانا ـ تکرار کرناـ جھگڑنا,
janitor,دربان ـ چوکيدار,
janizary,جانثار فوج کا سپاهي,
jansenist,ار نيلس نينس کا هيرو جس کا عقيده تھا که انسان ميں باالطبع نيکي کي صلاحيت نهيں,
january,جنوري,سال کاپہلامہینہ
janus,دروازوں کا محافظ,
jap,جاپان کا,
japan,جاپان,
japanese,جاپان کے رهنيوالے,
jape,مذاق کرنا ـ دل لگي کرنا,
japer,مذاق کرنے والا,
japonic,جاپاني,
japonica,مختلف قسم کے خوبصورت جاپاني پودے,
jar,جھنکا رـ کرخت آواز ـ تکرار کرنا ـ برتن ـ مٹکا,
jardiniere,گملے يا گلدان,
jargon,بولي جو سمجھ ميں نه آئے ـ زرقان,
jarl,ناورييا ڈنمارک کا سردار,
jarvey,کرايه کي گاڑي کا کوچوان,
jasmine,چنبيلي,
jasper,زبر جد ـ سنگ يشپ,
jaundice,يرقان ـ نقص عمارت,
jaundiced,يرقاني ـر شک و حسد ميںمبتلا,
jaunt,سير کرناـ تفريحي سفر کرناـ مٹر گشت,
jauntily,زنده دلي سے,
jauntiness,خوش ادائي ـ زنده دلي,
jaunty,زنده دلـ هنس مکھ,
javanese,جاوا کي زبان يا باشنده,
javelin,نيزه ـ بان,
jaw,جبڑا ـ کله,
jawbone,جبڑے کي هڈي,
jay,يورپ کا ايک خوبصورت پرنده,
jazz,شور و غل ـ بھڑک دار ـ جاز بجانا يا ناچنا,
jazzer,ناچنے والا,
jealous,بد گمان ـ حاسد ـ شکني,
jealously,بد گماني ـ رشک سيـ غيرت مندي سے,
jealousy,رشک ـ بد گماني حسد ـ مسابقت ـ غيرت مندي,
jean,زينـ ايک قسم کا موٹا کپڑا,
jeep,جيپ ـ موٹر,
jeer,لعن وطن ـ طنز ـ چوٹ کرناـ طنز کرنا ـ کشتي کے پردوں کو اونچا کرنے اور گرانے کا انکڑا,
jeerer,لعن طعن کرنے والا,
jehad,جھاد,
jehovah,ياهو ـ يا الله ـ الله تعالي,
jehu,سرپٹ دوڑنے والا,
jejune,بھوکا ـ روکھا سوکھا ـ بے مزا,
jejuneness,بے قدر هونا ـ حقير هونا ـ  پنجر هونا,
jekyll,دو مزاجا,
jelly,لعاب ـ لعاب دارچيز ـ جيلي,
jemmy,آله نقب زني ـ سالم پکي  هوئي بکرے کي سري,
jennet,اسپين کا ٹٹو,
jenny,بننے کي مشين,
jeopardize,خطرے ميںڈالنا ـ نقصان پھنچانا,
jeopardy,خطره ـ انديشه,
jeremiad,فرياد ـ نوحه,
jerk,کھٹکا ديناـ دھچکا دينا ـ گوشت کے لمبے ٹکڑوں کو نمک لگا کر سکھانا لينا,
jerker,جھٹکا دينے والا,
jerky,جھٹکا دينيوالا,
jeroboam,شراب کا قرابه,
jerry,جرمن سپاهي,
jerrybuilder,ناقص مسلے سے بے ڈھنگي عمارت بنانے والا,
jersey,جرسي ـ تنگ بنيان,
jerusalem,بيت المقدس,
jess,باز کے پيروں ميں باندھنے جا تسمه,
jessamine,چميلي,
jest,مذاق کرنا ـ دل لگي کرنا ـ فقر ه کسنا,
jester,مذاق کرنے والا,
jestful,پر مذاق,
jesuit,ريا کا ر شخص,
jesus,حضرت عيسي عليه السلام,
jet,سنگ موسي ـ نل ـ فوراه,
jetsam,وه چيزيں کو جھاز کو هلکا کرنے کيلئے پھينک دي جائيں,
jettison,جھاز کو هلکا کرنے کيلئے سامان پھينکنا,
jetty,سياه و چمکدار,
jew,يهودي ـ عبراني ـ اسرائيلي,
jewel,لعل جواهر ـ قيمتي ـ نگينے,
jeweler,جواهرات کا بهيوپاري,
jeweller,سنار,
jewelry,جڑاؤ زيور,
jewess,يهودن,
jewish,يهودي ـ عبراني,
jewry,يهودي کا محله,
jezebel,بد چلن عورت ـ وه عورت جو چهرے پر غارت ملتي هو,
jib,جھاز ميں سب سے آگے کا باد بان,
jibber,اڑيل گھوڑا,
jibdoor,چور دروازه,
jibe,طنعه زني کرناíـ آواز ے کسنا,
jiber,طنعه زهني کرنے والا,
jiff,پل ـ لمحه,
jig,مستانه ناچ ـ تيزي کے ساتھ اعضائ کو حرکت دينا,
jigger,چھوٹي چر خي,
jiggle,هلکے هلکے جھٹکے دينا,
jihad,جھاد ـ کافروںکے خلاف جنگ,
jill,لڑکي ـ محبوبه í عورت,
jilt,بے وفا عورت ـ هر جائي,
jilter,نے وفائي کرنے والي,
jimcrow,حبشي,
jimp,صاف ـ خوش نما ـ پاکيزه,
jingle,جھنکار ـ يکساں آواز کے الفاظ,
jingler,جھنجھنانے والا,
jingo,وطن کيلئے جوني کا حامي ـ شيخي باز وطن پرست ـ جنگ,
jingoism,جنگ جوئي,
jinks,رنگ رلياں,
jinnee,آتشي مخلوق ـ جن,
jinrikisha,رکشا,
jiujitsu,جاپان کا فن کشتي,
job,چھوٹا کام ـ چھلر کامـ مزدوري,
jobation,تنبيه ـ شرزنش,
jobber,متفرق کام کرناے والا,
jobbernowl,بے وقوف ـ گاؤدي ـ احمق,
jobbery,دلالي ـ آڑھت,
jobholder,کام کرنے والا,
jobless,بيکار ـ بے روزگار,
jobscomforter,غم خواري کے پردے ميں دشمني کرنے والا,
jobwork,فوري اجرت کا کام ـ متفرق کام,
jock,سکاٹ لينڈ کا سپاهي,
jockey,دغا کرنا ـ فريب دينا,
jockeydom,جاکيوں کا گروه ـ سواروں کي جماعت,
jocko,افريقه کا ايک بندر,
jocose,خوش طبع ـ پر مذاق,
jocosely,خوش طبعي,
jocoseness,ظرافت ـ خوش طبعي ـ ٹھٹھے بازي,
jocular,خوش طبع,
jocularity,خوش طبعي,
jocund,زنده دلي ـ خوش طبع,
jocundity,خوش طبعي,
jocundly,زند ه دلي سے,
joemiller,بار بار سنا هو لطيفه ـ فرسوده مذاق,
joey,جانور کا بچه,
jog,دھکا ديناـ هلا دينا,
jogger,دھکا دينے والا,
joggle,دھکا دينا ـ جھٹکے دينا,
joggler,دھکا دينے والا,
johannesburg,جوهانسبرگ,
johannisberger,جرمني کي اعلي قسم کي سفيد شراب,
john,انگريز قوم,
johnian,سينٹ جانس کالج کيمبرج کا ـ اس کالج کا رکن,
johnny,شخص ـ آدمي,
johnson,ڈاکٹر جانسن کے طرز کي عبادت,
johnsonese,ڈاکٹر جانسن کے طرز کي عبادت,
johnsonian,ڈاکٹر جانسن کے طرز کي عبادت,
join,جوڑنا ـ ملانا  ـ اکھٹا کرنا ـ مربوط کرنا,
joinable,جوڑنے کے قابل,
joinbattle,جنگ شروع کرنا,
joinder,اتصال ـ جوڑ ـ ضميمه,
joiner,جوڑنے والا,
joint,جوڑ ـ بند ـ گره ـ جول,
jointer,جوڑ ملانے والا ـ جوڑنے والا,
jointeress,بيوه صاحب جائيداد ـ گزارا يا عورت,
jointing,جوڑنا ـ ملانا,
jointure,حق زوجيت ـ مهر,
joist,ناٹ ـ شهتير ـ کڑي,
joke,مذاق کرنا ـ دل لگي کرنا ـهنيي اڑانا,
joker,مذاق کرنے والا,
joky,جگت باز ـ فقره بازـ ظريفت ـ دل لگي کرنا,
jollification,رنگ رلياں ـسرور ـ مستي ـ  تفريح,
jollify,رنگ رلياں منانا ـ مست کرديناـ پينا پلانا,
jollity,زنده دلي ـ خوش طبعي,
jolly,خوش ـ شادمان ـ مسرور,
jollyboat,جھاز کے سا تھ کي چھوٹي کشتي,
jolt,هچکولے دينا ـ جھنجھوڑنا,
jolter,جھنجھنجوڑنے والا,
jolterhead,بيوقوف ـ احمق,
jolty,هچکولے کھانے والا,
jonah,منحوس آدمي,
jonathan,نيو يارک کا باشنده,
jordan,پيشاب اور پاخانے کا برتن,
jorum,جام ـ قدح,
joseph,پاک باز آدمي,
joskin,دهقاني عورت ـ بيتميز ديهاتن,
joss,چيني بت ـ لعبت چين,
josser,بيوقوف ـ احمق,
josshouse,صنم خانه ـ بت کده,
jostle,دھکا دينا ـ کهني مارنا ـ ٹکرانا,
jostler,دھکا دينے والا,
jostling,دھکا دينا,
jot,تيزي سے لکھنا ـ اشارے لکھنا,
jounce,دھکا دينا ـ ٹکرانا,
journal,روز نامه ـ روزانه اخبار,
journalese,اخباري زبان,
journalism,اخبار نويسي ـ مصافحت,
