o,انگريزي حروف تھجي کا پندرھواں حرف
oaf,جني بچه ـ آسيبي بچه ـ بے عقل
oafish,احمق ساـ گدھا سا
oak,بلوط ـ شاه بلوط
oaken,اوک کا بنا هوا
oakland,آکلينڈ
oaklet,بلوط کا چھوٹا درخت
oakling,بلوط کا چھوٹا درخت
oakum,پرانے رسوں کا ريشه
oaky,بلوط سا سخت ـ مضبوط
oar,چپو ـ ناؤ کے کھينچنے کا ڈنڈا
oarage,کشتي چلانے کي مزدوري يا محصول
oarsmanship,کشتي راني
oary,چپو دار ـ چپو کي شکل کا
oasis,ريگستان ميں سر سبز مقام
oat,جو ـ جو کي قسم کے اناج
oaten,جو کے آٹے کا
oath,قس ـ حلف ـ خدا کو گواه کرنا
oatmeal,جنی کا آٹا ۔
obduracy,سر کشي ـ سنگدلي
obdurate,سخت ـ تند ـ روکھا
obdurately,ڈھٹائي سے ـ بے رحمي سے
obduration,بے رحم ـسر کش
obedience,تابعداري ـ حکمراني ـ اطاعت
obedient,فرمانبردار ـ تابع
obedientiary,خانقاه کے افسر اعلي کا نائب مددگار
obediently,تابعداري سے ـ فرمانبرداري سے
obeisance,کورنش ـ سلام ـ آداب
obelisk,مخروطي پتھر کا مينار
obelize,نشان تحريف لگانا ـ حاشيه لگانا
obelus,چوکنٹھا
obese,موٹاـ فريه ـ لحيم
obesity,موٹاپا
obey,حکم ماننا ـ فرمانبرداري کرنا
obeyable,حکم ماننے کے قابل
obeyer,حکم ماننے والا ـ فرمانبرداري کرنے والا
obfuscate,اندھيرا کرنا ـ تاريک کرنا ـ عقل گم کر دينا ـ حواس باخته کردينا
obfuscation,پريشاني ـ بدحواسي ـ ظلمت
obi,چکمدار چوڑا پٹا
obit,کسي محسن کي موت کو ياد کرنا
obiter,به سلسله کلام
obiterdictum,جج کي ذاتي رائے جو اس نے کسي مقدمے کے سلسلے ميں دي ھواوراسکي کوئي قانوني حيثيت نه ھو ـ اظھار خيالي
obituarist,اخباري وفات نگار ـ مرنے والے کا سوانح نگار
obituary,موت کي اطلاع يا اعلان ـ مرحوم کے متعلق
object,اعتراض کرنا ـ ترديد کرنا ـ روکنا ـ نا پسند ـ شے ـ چيز
objectant,اعتراض کرنے والا ـ ترديد کرنے والا
objectification,تشکيل
objectify,مادي شکل ميں پيش کرنا ـ تشکيل کرنا
objection,اعتراض ـ ترديد ـ ناپسند
objectionable,قابل اعتراض
objective,خارجي ـ حقيقي ـ مادي
objectiveness,شکل و صورت ـ بيروني حالت
objectivism,واقعيت پسند ي ـ خارجي حيثيت پر زور دينا
objectless,بيکار ـ بے مقصد
objector,اعتراض کرنے والا ـ متعرض
objectpoint,حمله کا مقام ـ منزل مقصود
objuration,حلف اٹھانا
objure,حلف اٹھانا ـ قسم کھانار
objurgalory,ملامت آميز ـ تنبيهي
objurgate,ملامت کرنا ـ تنبيه کرنا
oblate,وه شخص جو مذھبي زندگي کيلئے وقف ـ نارنجي کي شکل کا
oblation,احسان ـ مهربان ـ عنايت
obligable,پابند کرنے کے قابل
obligate,پابند کرنا ـ مجبور کرنا
obligation,احسان ـ مهر باني ـ عنايت
obligator,احسان کرنے والا ـ عنايت کرنے والا
obligatory,ضروري ـ واجب ـ لازمي
oblige,مجبور کرناـ  پابند کرنا ـ خوش کرناـ پاس کرنا
obligee,وه شخص جس کے حق ميں اقرار نامه لکھا جائے
obliger,اقرار کرنے والا ـ مجبور کرنے والا ـ پاس کرنے والا
obliging,خليق ـ بامروت
obligingly,مروت سے
obligingness,حسن اخلاق ـ خوش اخلاق
obligor,معاهده کرنے والا ـ ذمه داري لينے والا
oblique,غير متوازي ـ عمودي حالت سے جھکا هوا
obliquely,ترچھے راستے سے ـ آڑے طريقے سے
obliquity,غير مستقيم ـ ترچھا پن
obliterate,مٹا دينا ـ قلم زد کرنا ـ محو کر دينا ـ منسوخ کرنا
obliteration,نيست نابود کر ڈالنا
obliterator,مٹا دينے والا ـ نيست نابود کرنے والا
oblivion,بھول ـ فراموش ـ گم نامي
oblivious,بھولنے والا ـ فراموش کننده
obliviousness,بھول جانيکي عادت
oblize,نشان تحريف لگانا ـ نشان حاشيه لگانا
oblong,لمبوترا ـ بيضاوي ـ کتابي
obloquy,غيبت ـ بد گوئي ـ الزام ـ بهتان
obmutescence,خاموشي ـ چپ سادھنا ـ سکوت
obmutescent,چپ سادھنے والا ـ ضد سے چپ رهنے والا
obnoxious,قابل اعتراض ـ مکروه ـ برا ـ قابل نفرت
obnoxiousness,پر خطر هونا ـ بے هوده هونا
oboe,ايک قسم کي بانسري
oboist,بانسري بجانے والا
obscene,فحش ـ خلاف تهذيب ـ بے شرمي کا ـ گندا ـ ناپاک
obscenity,بے شرمي ـ آواره پن
obscurant,اصلاح ترقي کا دشمن ـ ظلمت پسند
obscurantism,قدامت پسندي
obscurantist,ظلمت پسند
obscuration,تاريکي ـ اخفا ـ ابهام
obscure,تاريک ـ اندھيرا ـ غير واضع
obscurer,پوشيده کرنے والا
obscurity,گم نامي ـ اندھيرا
obsequious,چابلوسي ـ خوشامدي ـ اطاعت چعار
obsequiousness,خوشامد ـ تابعداري
obsequy,اطاعت ـ فرمانبرداري
observable,قابل تعميل ـ قابل غور
observance,بجا آوري ـ پابندي ـ تعميل
observancy,التفات لحاظـ تکريم ـ معظيم ـ ادب
observant,پابند ـ تعميل کرنے والا ـ مشاهده کرنے والا
observation,مشاهده ـ توجه
observational,معائنه ـ مشاهده کے قابل
observatory,رصد گاه
observe,ديکھنا ـ غور کرنا ـ معلوم کرناـ مشاهده کرنا ـ پاس کرنا
observer,مشاھده کرنے والا ـ غور کرنے والا ـ ديکھنے والا
obsess,وهم خيال کا مسلط هو جانا
obsession,وهم کا غلبه ـ خيالي خطره
obsessional,محاصره کے متعلق
obsolescence,غير مستعمل هونا ـ مترو ک هونا
obsolescent,متروک هونے والا
obsolete,متروک ـ منسوخ ـ فرسوده
obsoleteness,غير مستقل هونا ـ متروک هونا
obsoletism,قديم رسم و رواج کي حمايت ـ متروکيت
