c,انگريزي حروف تهجي کا تيسرا حرف  ـ سي
caaba,بيت اللّٰه ـ کعبه
cab,يکه گاڑي
cabal,سازش ـ بندش ـ ساز باز کرنا
cabaret,شراب خانه
cabbage,گوبھي ـ کتر€
cabbagge,گوبھي ـ کرم کله ـ کتر€
cabby,کوچوا€
cabin,چھونپڑي ـ کٹيـ کٹيا
cabinboy,جھاز کا خادم
cabinet,چھوٹا کمره ـ کوٹھري ـ جماعت وزرا
cabinetmaker,کابينه بنانے والا
cable,جھاز کا رسه يا زنجير ـ بحري تار
cablegram,بحري تار
caboose,جھاز کا باورچي خانه
cabrunner,گاڑي سے سامان اتارنے اور رکھنے والے مزدور
cabstand,گاڑي کا اڈا
cacao,منطقه حاره کا ايک درخت ـ کوکو کا درخت
cachinnate,زور سے هنسنا
cachinnation,زور کي هنسي ـ قهقه
cackle,مرغي يا بطخ کي طرح هولنا ـ بکواس کرنا
cackler,بکواسي
cackling,بکواس
cacographer,غلط املا لکھنے والا ـ بد خطي کا مرتکب
cacography,غلط املا ـ بد خطي
cacology,الفاظ کا غلط انتخاب
cacophonous,بُري آواز والا
cacophony,بے سرا پن ـ بے آهنگي
cactaceous,کٹيلا ـ ناگ پھني کي طرح
cactal,ناگ پھني کے متعلق
cactoid,ناگ پھني کي مانند
cactus,ايک قسم کا خاردار پودا
cadastral,جاندار غير منقوله کے متعلق ـ زمين کي پيمائش
cadaverous,مردار سا ـ زرد
caddie,گلف کھيلنے والوں کا ملازم جو ڈنڈا وغيره لے کر چلتا هے
caddish,پاجي ـ رذيلانه ـ کمينه سا
caddy,چائے رکھنے کا چھوٹا صندوق
cadence,ست ـ لهجه ـ آواز کا اتار چرھاؤ
cadency,آواز کا اتار چرھاؤ ـ الحانü
cadent,آسائي سے گرتا هوا
cadet,چھوٹا بيٹا ـ چھوٹا بھائي
cadge,گداگري کرتے پھيرنا
cadger,پھيري والا
cadi,منصف ـ قاضي
cadre,ڈھانچه ـ لانحه
caducity,تلون ـ اعضائ کا جھڑ جاناـ ناپائداري
caesar,قيصر روم
caesarizm,شخصي حکومت
cafe,قهوه خانه
cafeteria,کيفے ٹيريا
caftan,ايراني جامه
cage,قفس ـ پنجرا
cains,بھائي کا قاتل ـ قاتل
cairn,سنگي قير ـ ھزار
caitiff,حرامزاده ـ بزدل
cajole,چاپلوسي کرنا ـ خوشامد کرنا ـ دھوکا دينا
cajolement,کاسه ليسي ـ خوشامد ـ چاپلوسي
cajoler,خوشامدي
cajolery,دغا ـ فريب
cajoling,چاپلوسي
cajolingly,چاپلوسي سے
cake,نان نما مٹھائي ـ کلچه
cakeandale,شراب و کباب
cakeandwine,رنگ رلياں منانا
calabash,کچکول ـ تونبا
calamander,جنوبي هند اور لنکا کي ايک سخت لکڑيي
calamitous,آفت زده
calamity,قهر ـ مصيبت
calash,چھوٹے پهيوں کي تپال دار گاڑي
calcareous,کھيريا کا ـ چونا صفت ـ آهکي
calceated,نعل جڑ ا هوا
calcification,آهک سنگ ـ چونے ميں تبديليک
calcify,چونے کي تهه جما کر پتھر بنانا
calcination,راکھ بنانے ـ کشته کرنے کا عمل
calcine,جلا کر چونا بنانا ـ راکھ کرنا ـ پھونک دينا
calciner,خاکستر کرنے والا ـ کشته بنانے والا
calcium,کيلشيم
calculable,گنتي کے قابل
calculate,حساب کرنا  ـ گنناü
calculated,واجب ـ صحيح ـ موزوں
calculation,حساب ـ قياس
calculative,اندازه کرنے والا  ـ حسابي
calculator,محاسب ـ حساب لگانے والا
calculus,سنگ کرده
caldron,پتيلا
calefacient,خار ـ گرم
calefaction,جوش ـ حرارت ـ گرمي
calefactive,گرم ـ گرمي پيدا کرنے والا
calefactory,خانفاه کا گرم کمراه ـ گرمي پهنچانے والي
calendar,جنتري ـ ترريب دينا ـ استري کرنا
calendaring,ترتيب
calender,استري کرناـ ترتيب دينا
calendry,استري کرنے کي جگه
calends,روميوں کے هر مهينے کا پهلا د€
calf,بچھڑا  ـ  احمق  ـپنڈلي ـ ساق
calfhood,بچھڑا پ€
calfish,بيوقوف ـ ساده لوح  ـ بچھڑے کي طرح
calflove,بڑي عمر کي عورت کا نو عمر سے محبت کرنا
calfteeth,دودھ کے دانت
caliban,حيوان صفت انسا€
calibre,بندوق کي اندروني گولائي نمبر
calibred,ذهينـ لائق ـ ذي وقعت
calico,چھپا هواـ سفيد سوتي کپڑا
calicoprinter,چھپرا ـ چھينٹ بنانے والا
calicoprinting,چھينٹ بنانا ـ رنگائي کرنا
california,کلفورنيا ايک ملک کا نام
californian,کلفورنيا کے باشندے
caliper,خمدار
caliph,خليفه
caliphate,خلافت
calisthenic,جسم کي طاقت بڑھانے کي ورزش  ـ زناني کثرت
call,نام رکھنا ـ بولنا ـ بلانا
callattentionto,توجه دينا
callboy,وه لڑکے جو تھيٹروں ميں اداکاروں کو بلاتے هيں
callcousinswith,قرايت داري بتانا ـ رشته جوڑنا
caller,بلانے والا ـ ملاقائي
calligrapher,خوش نويس
calligraphic,خوش نويسانه
calligraphist,خوش خطي کا استاد ـ فن خطاطي کا ماهر
calligraphy,خوش نويسي
calling,کام ـ دھندا ـ پيشه ور لوگ
callinquestion,شک و شبه کرناـ اعتراض کرنا
callintobeing,پيدا کرنا ـ معرض وجود ميں لانا
callintoplay,مختلف ذرائع سے کام لينا
callnames,برا بھلا کهناـ نام رکھنا ـ گالي دينا
callosity,گلٹي  ـ  ابھار
callous,بيدرد ـ بے حس
callousness,سختي ـ بے رحمي
callow,بے بال و پر ـ نرما
calltomind,ياد کرنا
calm,تسلي دينا ـ سکون ـ خاطر ـ قرار
calmly,ٹھنڈے دل سے ـ اطمينان سے
calmness,قرار ـ خاموشي
calmorous,حجتي ـ تکراري ـ غوغائي
calomel,جلاب کي دوا
caloric,حرارت ـ گرمي
calorific,حرارت يا گرمي پيدا کرنے والاا
calorify,گرمانا ـ حرارت پهنچانا
calorimeter,حرارت ناپنے کا آله
calorimetric,حرارت پيمائي کے متعلق
calorimetry,حرارت پيمائي
caloritication,حرارت انگيزي
calrendon,ايک قسم کا موٹا ٹانپ
calric,حرارت ـ گرمي
caltrop,هاتھي چنگھاؤ ـ گوکھوو
calumet,فرشي حقه
calumniate,تهمت لگانا
calumniation,بدگوئي ـ تهمت
calumniator,بد گو ـ مغتري
calumniatory,پرافترا ـ تهمت آميز
calumnious,مفسد ـ افترا پرداز
calumny,بد گو ئي ـ تھمت
calve,جانوروں کا بچه دينا
calx,پھونکي هوئي دھات
calyx,مسند گل
cambric,سفيد سوتي رومال
cambridge,کمبرج
came,آيا هوا
camel,اونٹ ـشتر
cameleer,شتر سوار ـ شتر با€
camelia,چين اور جاپان کي پھول دينے والي سدا بھار جھاڑي
camelion,گرگٹ
camellia,چين اور جاپا ن کي پھو ل دينے والي سدا بھار  جھاڑي
camelopard,شتر گاؤ ـ افريقه کا ايک جانور
camelry,اونٹوں کا رساله ـ شتر سوار فوج
cameo,ابھروان نقش ـ منيت کاري
camera,تصوير کھينچنے کا آله ـ جج کا پوشيده اجلاس
cameraman,تصوير کھينچنے والا
cameronion,رچرڈ کيمرن کے نظريات کے متعلق
cameroon,ايک ملک کا نام ـ کيمرو€
camlet,ريشمي کپڑا
camomile,بابونه
camp,خيصه خرگاه ـ فوجي پڑاؤ
campaign,جنگ کرنا ـ ميدان کار زار
camphor,کافور
camphorate,کافور سے بھرنا
camphoric,کافور کے متعلق
campus,کسي کالج يا جامعه کا علاقه
can,لوٹا ـممکن هونا ـ قابل هونا
canaan,کنعا€
canada,کينيڈا
canadian,کينيڈا کے باشندے
canaille,بدتميز ـ نيچ ذات والے ـ رذيل
canal,نھر ـ آب گذار ـ نالي بنانا
canalization,کسي علاقے ميں نھراں نکالنا
canalize,نھراں جاري کرنا
canard,بے پر کي بات ـ چھوٹي بات
canary,زرد رنگ کي گانے والي چڑيا
canarybird,گانے والي چڑيا
canarycreeper,زرد پھولوں کي بيل
canaryseed,کنگني
canaster,تمباکو کا چورا
cancan,ايک فرانسيسي فحش ناچ
cancel,رد ـ تنسيخ
cancelable,قابل تنسيخ
canceler,تنسيخ کرنے والا ـ رد  کرنے والا
cancellation,تنسيخ
cancer,کيکڑا ـ برج سرطا ن ـ سرطان کي بيماري
cancered,ناسور صنعت ـ سرطاني
cancerous,سرطان کي طرح بڑھنے والي
candelabrum,فرشي جھاڑ ـ روشني کا
candescence,گرم تاباني ـ گرم سفيد روشني
candescent,سفيد روشني دينے والا
candid,صادق ـ راست باز
candidacy,راست بازي
candidate,اميدوار ـ طالب
candidature,خواستگاري اميدواري
candidly,راست بازي سے ـ صاف صاف
candidness,راست گوئي ـ صاف دلي
candle,روشني ـ شمع ـ موم بتي
candleends,موم بتي کے بچے کچے ٹکرے
candlelight,موم بتي کي ورشني
candlestick,شمعدان ـ موم بتي
candour,کھرا پن ـ صاف دلي
candy,قند ـ مصري
cane,لاٹھي ـ عصا ـ جريب
canine,کتے کے بارے ميں
caning,بيد مارنا
canister,چائے کي پتي کا ڈبه
canker,ناسور ـ انساني منه کے آبلے
cankerous,سڑا دينے والا ـگھن لگا دينے والا
cankerworm,سڑا دينے والا کيڑا
cannabism,آدم خوري ـ هم جنس خوري
cannibal,آدم خور انسان ـ هم جنس خور
canniness,کفالت شعاري ـ عياري
cannon,توپ ـ کنجي کا سوراخ
cannonade,مسلسل گوله باري
cannonball,توپ گوله
canny,کفالت شعار
canoe,ڈونگا ـ چھوٹي کشتي
canon,شرع ـ آئين ـ مذھبي فتوي
canonical,شرعي ـ قانوني ـ مذھبي
canonization,سند ولادت ـ صحت کتاب
canonize,فهرست اولياميں داخل کرنا
canopy,چھتر ـ شاميانه لگانا ـ سائبا€
canorus,سريلي آواز ـ خوش الحا€
cant,زاويه ـ رخ ـ ترچھا
cantab,جامعه کيمبرج کا رک€
cantankerous,تکرار کرنے والا
cantankerousnes,حجت بازي
canteen,خانه دار صندوق ـ طعام خانه ـلکڑي کا پاني پينے کا برت€
canter,مکار ـ رياکار
cantharides,سوکھائي هوئي هسپانوي مکھي جس کا ليپ بنتا هے
canticle,مختصر گيت ـ چھوٹي ـ چھوٹي نظميں
canto,نظم کا بند ـ کھنڈ
canton,ذات ـ فرقه ـ قوم
cantonment,اردو بازار ـ صدر ـ لشکر
cantphrase,دکھاوے کي باتيں کرنا ـ ظائر داري ـ رياکاري
canty,خوش و خرم ـ خوش
