l,انگريزي حروف تھجي کا بارھواں حرف
la,ديکھ لو ـ ديکھو تو
laager,پراؤ ـ منزل ـ پڑاؤ ڈالنا
labarum,قسطنطنين اعظم کا جھنڈا ـ علم ـ نشان
label,پرچه ـ چھٹي ـ سرنامه ـ کاغذ ـ ليبل
labeler,چٹ لگانے والا
labial,جوهونٹوں سے نکلے ـ هونٹوں کا
labialization,هونٹو ں کو بند کرکے آواز نکالنے کا عمل
labiate,لب دار
labifaction,ضعيفي ـ کمزوري ـ ناتواني
laboratory,معمل خانه ـ تجزيه خانه ـ تجزيه گاه
laborious,محنت طلب ـ محنت کش ـ مشقت
laboriousness,بے دلي ـ دشواري
labour,کام کرنا ـ محنت کرنا ـ جانفشاني  کرنا ـ مزدوري کرنا ـ تکليف اٹھانا
labourer,محنت کرنے والا ـ مزدور
labourite,مزدور جماعت کا رکن
labrador,ايک جنس کا کتا
laburnum,ايک درخت ميں شوخ زرد رنگ کے پھولوں کے گھچے لگتے هيں
labyrinth,بھول بھلياں ـ غلام گردش
lac,لاکھ
lace,ڈوري يا قيطوں لگانا ـ فيته يا تسمه باند ھنا ـ کمر کسنا
lacer,تسمه باندھنے والا
lacerate,پھاڑنا ـ ٹکڑے ٹکڑے کرنا ـ پرخچے اڑانا ـ تکا بوٹي کرنا ـپاش پاش کرنا
laceration,ايذا رسائي ـ دل آزاري
lacerative,دل خوائش ـ دل دوز
laches,غفلت ـ بے خبري ـ عدم تعميل ـ عدم پيروي
lachrymal,اشک آور ـ آنسو بهانے والا
lachrymation,اشک فساني ـ گريه وزاري ـ اشک باري
lachrymator,اشک فساني کرنے والا
lachrymose,آنسو بھانيوالا ـ آبيده
lacing,فيتے ـ جھالر ـ زري وغيره کا کام
laciniate,دندانے دار ـ کھردرا ـ اگڑيکر ـ ناهوار
lack,کم هونا ـ ناکافي هونا ـقاصر هونا
lackadaisical,فکر مند ـ سست ـ ناتواں
lackaday,آه آه ـ افسوس
lackey,وردي پوش خدمت گار  ـ هرکاره ـ خدمت گاري کارنا
laconic,مختصر ـ کوتاه ـ پرمغز
laconically,ايجاز سے ـ اختصار سے
laconicism,مختصر اور بليغ تقرير ـ ايجاز
laconism,پر مغني کلام ـ ايجاز
lacquer,سنهري روغن
lacquerer,پالش کرنے والا
lacrosse,پاکي کي طرح ايک امريکي کھيل
lactate,دودھ ـ بچوں کو دودھ پلانا
lactation,جسم ميں دودھ کي پيدائش ـ دودھ پلانا
lacteal,بدتن ميں کيلوسي نالي ـ دودھ کے متعلق
lactescence,کیلو س ۔ شیر عرق ۔
lactescent,دودھيا ـ کيلوس دار ـ شير نما
lactiferous,دودھ يا دودھ کا عرق پيدا کرنے والا
lactometer,دودھ کي خالص هونے کا امتحان کرنے کا آله ـ شير پما
lactose,شکر جو دودھ ميں هوتي هے
lacuna,خلا ـ رخنه ـ کمي
lad,لڑکا ـ لونڈا ـ چھوکرا
ladder,سيڑھي ـ لکڑي کا زينه
laddie,چھوٹے بچوں کا پيار کا نام
lade,لادنا ـ بار کرنا
laden,لدا هوا ـ بھاري
lader,هار کرنے والا ـ لادينے والا
ladiesman,عورتوں کي صحبت پسند کرنيوالا
ladle,بڑا چمچه ـ ڈوني ـ پلي
lady,خاتون ـ صاحبه ـ محترمه ـ بيوي
