f,انگريزي حروف تهجي کا چھٹا حرف
fa,موسيقي ميں ايک سپتک کا چوتھا سر ـ ما کا سر
fabian,سست ـ دھيما ـ دير کرنے والا
fable,افسانہ ۔ بناوٹ ۔ کہانی ۔ فرضی قصہ کہنا ۔ قصہ گھڑنا ۔
fabler,قصه گو ـ داستان گو
fabric,صورت ـ شکل ـ گھر ـ کپڑے کي ساخت
fabricate,جعلي دستاويز بنانا ـ جھوٹ بنانا ـ ايجاد کرناـ بنانا
fabrication,جعلسازي ـ جھوٹ ـ بناوٹ
fabricator,ايجاد کرنے والاـ جعلساز
fabulist,داستان گو ـ انسانه نويس
fabulous,مصنوعي ـ فرضي ـ وهمي ـ غير تاريخي
facade,اگواڑہ ۔ مکان کا رو کا حصہ ۔
face,چهره ـ صورت ـ شکل ـ ظاهري حالت
faceable,سامنا کرنے قابل ـ مقابله کرنے کے قابل
facer,سخت مشکل ـ بلائے ناگهاني تھپڑ ـ طمانچه
facet,پهلو ـ رخ ـ پھل ـ جانب ـ ايک پهلو ـ کسي ـ پهلو دار چيز کا پهلو
facetiae,ظريفانه کلام ـ ظرافت ـ لطيفه ـ نکته ـ  فحش گوئي
facetious,خوش مزاج ـ هنسي مذاق کرنے والا ـ زنده دل ـ ظريف
facial,منه يا چهرے کے متعلق
facile,آسان ـ سهل ـ خوش خلق ـ نرم ـ ملائم
facilitate,سهولت پيدا کرناـ سهل کرناـ ترقي کرنے ميں مدد کرنا
facilitation,آساني ـ سهولت
facility,تقرير کي رواني ـ آساني ـ آسان هونا ـ اچھا موقع
facing,پوشش ـ لباس ـ کناره ـ حاشيه ـ اوپلا ـ استر کاري
facsimile,ٹھيک نقل ـ هو بهو نقل کرنا ـ لکھائي
fact,حقيقت ـ حالت ـ اصل حال ـ صداقت
faction,جماوت ـ گروه ـ سياسي فريق
factional,فسادي ـ مفسد ـ فتنه انگيز ـ هنگانه پراذ
factious,غير حقيقي ـ جعلي ـ بناوٹي ـ نقلي
factiousness,فتنه انگيزي ـ بکھيڑا ـ دنگا فساد
factitious,غير حقيقي ـ جعلي ـ بناوٹي ـ نقلي ـ مصنوعي
factitiousness,دنگا ـ فساد ـ جھگڑا
factitive,افعال قلوب ـ ايسے فعل فن ميں مفعول اور توسيع فعل هو
factor,عنصر ـ لازمي جز ـ حقيقت ـ اهم جز ـ واقعه
factorable,قابل حقيقت
factory,کارخانه
factotum,هر کام کرنے واله ملازم
factual,اصلي ـ حقيقي ـ واقعائي
factum,محضر ـ درخواست ـ واقعه کي روادار ـ بيان
faculty,لياقت ـ استعداد ـ قابليت ـ دماغي قوت ـ جامعه ميں کسي فن کا شعبه
fad,دھن ـ اصول ـ خبط ـ وهم
fadable,قابل وهم
faddism,دلنشين خيال ـ خبط ـ وهم ـ تصوريت
faddist,اپنے خيال پر چلنے والاـ وهمي ـ خبطي
fade,مرجھانا ـ خشک هونا ـ زائل هونا ـ مائد پڑنا ـ پھيکا پڑنا
fader,مرجھانے والا
faeces,فضله ـ درد ـ پاخانه ـ ليد ـ گوبر
fag,جان مانا ـ محنت مزدوري کرنا ـ چاکري کرنا ـ سخت تکليف اٹھانا
faggot,ايندھن کا گٹھا ـ کليجي کے کباب
fagot,لکڑيوں کا گٹھا
fahrenheit,حرارت پيما آله
fail,ناکام هوناـ کم هونا ـ گھٹ جانا ـ کافي نه هونا ـ معدوم هونا
failing,چوک ـ قصور ـ خطا
failingly,ناکامي سے
failure,ناکام شخص ـ نامرادي ـ ناکامي ـ کمي
fain,رضا مند نه حالت مجبوري
faineant,کام چور ـ سست ـ کاهل
faint,کم همت ـ بزدل ـ کمزور ـ مرجھايا هوا ـ هلکا
fainthearted,نامرد ـ کم همت ـ ٹرهوک
fair,حسين ـ بے داغ ـ بے عيب ـ خوبصورت ـ خوشنما
fairhaired,پورے بالوں والا
fairing,وه تحفه جو کسي ميلے ميں خريدا جائے
fairly,خاصا ـ بالکل ـ ٹھيک ٹھيک ـ انصاف سے
fairness,حسن ـ خوبي ـ پاکيزگي ـ ايماني داري
fairplay,مساوي برتاؤـ انصاف
fairtale,پريوں کي کهاني
fairy,پري ـ پري دار ـ پريوں کا خيال
fairyland,پرستان ـ پريوں کا ديس
fait,قطعي فيصله ـ ختم شده کام
faith,اعتبار ـ يقين ـ ايماني ـ مذهب ـ اقرار
