w,انگريزي حروف تھجي کا تيئيسواں حرف
waac,عورتوں کي امدادي فوج
wabble,گھومنا ـ ادھر سے ادھر حرکت کرنا ـ ڈھگمگانا
wabbler,ڈگمگانے والا
wack,جوالا ـ مٹي
wad,بندوق کي ڈاٹ ـ نمده کا گول ٹکڑا ـ گڈي ـ گٹھا ـ زر ـ روپيه
wadding,نمدے کي ڈاٹ ـ روشني کي بھرائي ـ بھرائي
waddingly,جھومتے هوئے ـ مٹکتے هوئے
waddle,مٹکا ـ مٹکتے هوئے چلنا ـ اٹھلا کر چلنا ـ مٹک
waddler,مٹکرے هوئے چلنے والا
waddling,مٹکنا
waddy,آسٹريلوي باشندوں کا جنگي ڈنڈا
wade,دقت سے گزرنا ـ عبور کرنا ـ دشواري سے گزرنا
wadeable,قابل عبور
wader,پاني ميں چلانے والا ـ لم ٹنگاـ پاني کے اونچے جوتے
wadi,ندي جو برسات ميں بهتي يو
wadingbird,لمبي ٹانگوں والا بگلا
wafd,مصر کي سياسي جماعت وفد جو اب ختم هو چکي هے
wafdist,جماعت وفد کا رکن
wafer,ايک قسم کا پتلا کرکرا بسکٹ ـ گڈي ـ کاغذي مهر لگانا
wafery,ٹکيا سا
waffle,روغني روٹي
waft,بھالے جاناـ لے جانا ـ هاتھ سے اشاره کرنا ـ پھيلانا ـ نغمه ـ جھونکا
wafter,بھالے لے جانے والا
wag,هلانا ـ لهرانا ـ دم هلانا ـ گزرنا
wage,اجرت ـ مزدوري ـ معاوضه
wageless,بے اجرت
wager,بازي لگانا ـ شرط
wagerer,بازي لگانے والا
waggery,طرفه حرکتيں ـ مسخرے پن کي باتيں
waggish,مسخرے پن کا
waggle,هلانا جھلانا
waggly,جھولتا هوا
waggon,جھگڑا ـ مال گاڑي کا ڈبه
waggoner,گاڑي هانکنے والا
wagon,جھگڑا ـ مال گاڑي کا ڈبه
wagoner,گاڑي هانکنے والا
wagonet,ايک قسم کي ٹپ دار بگھي
wagonlit,يورپي ريل گاڑيوں ميں سونے کا ڈبه
wagtail,ايک قسم کي چڑيا
wahabi,ايک اسلامي فرقه ـ وهابي
waif,لوارٹ مال
waifsandstrays,متفرق چيزيں ـ لوارٹ بچے
wail,واويلا کرنا ـ ماتم کرنا ـ نوحه کرنا
wailer,نوحه کرنے والا ـ ماتم کرنے والا
wailful,غم انگيز ـ دردناک
wailingly,دردناک آواز ميں ـ سينه کوبي کے ساتھ
wailingwall,جھاں يهودي کھڑے هو کر روتے هيں ـ ديوار گريه
wain,بگھي ـ چھکڑا ـ گاڑي
wainscot,تخته بندي ـ تختوں کا حاشيه لگانا
wainscoting,لکڑي کا حاشيه
waist,کمر ـ ميان
waistcoat,واسکٹ
wait,انتظار کرنا ـ توقف کرنا ـ منتظر رهنا
waiter,ملازم ـ خدمتگار ـ چنگي کا اهل کار ـ چوکيدار ـ خوان ـ کشتي
waitingroom,انتظار کا کمره
waitress,هوٹل کي ملازمه جو کھانا کھلاتي هے
waive,چھوڑنا ـ دست کش هونا ـ تياگنا ـ دست بردار ـ دعوي چھوڑنا
waiver,چھوڑنے والا ـ دست کش هونے والا
wake,جاگتے رهنا ـ بيدار رهنا ـ غفلت سے بيدار هونا
wakeful,بيدار ـ چوکس
wakefulness,چوکسي ـ بيداري
wakeless,سست ـ کاهلي
waken,جاگنا ـ جگانا ـ چوکنا
waker,جاگنے والا ـ بيدار هونے والا
wakingdream,خيالي پلاؤ ـ محويت کا عالم
wakinghours,اوقات بيداري
wale,اول ـ برت ـ مار کے نشان ـ بدمي
waler,آسٹريليا کا دوغلا گھوڑا جو هندوستان ميں درآمد کيا جائے ـ ويلر
wales,ويلز ـ برطانيه کا وه علاقه جھاں ولش قوم آباد هے
walk,چلنا ـ چهل قدمي کرنا ـ بھوت نظر آنا ـ گزرنا
walkable,پيدل چلنے کے قابل
walkabout,ٹهلنا ـ مٹر گوشت کرنا ـ ادھر ادھر پھرنا
walkeoff,فوراً چل دينا
walker,چلنے والا ـ سير کرنے والا  ـ اجي رهنے بھي دو ـ ٹھيک هے ـ جي هاں
walkoff,فوراً چل دينا
walkoflife,شعبه حيات ـ پيشه ـ شغل
walkout,جلسه سے اٹھ کر چلے جانا
walkover,حريف کے نه آنے کي وجه سے فاتح قرار ديا جائے
walktall,غرور سے پيش آنا
wall,ديوار ـ فصيل بنانا ـ مورچه
wallah,واللّٰه
wallaroo,آسٹريليا کا ايک بڑا کينگرو
