g,انگريزي حروف تهجي کا ساتواں حرف
gab,بک ـ بک ـ بکواس ـ گپ شپ ـ بکواس کرنا
gabble,بکنا ـ بک بک کرنا ـ جلد جلد بولنا
gabbler,بک بک کرنے والا ـ جلد بولنے والا ـ بکواس کرنے والا
gaberdine,چوغه ـ لباده
gabion,ڈليا ـ ٹوکرا ـ چھابا
gable,ديوار کا تکنا
gablet,چھوٹا چھجا ـ چھوٹا سا نوک دار حصه
gaby,احمق ـ بيوقوف
gad,اظهار حيرت کے لئے ـ يا الله
gadabout,آواره گردي کرنا
gadfly,ڈانس ـ بڑي مکھي ـ چم چچڑ ـ سر هر جانے والا آدمي
gadget,ترکيب ـ تدبير ـ چال
gadgeteer,مشين کا چھوٹا پرزه ـ چال ترکيب
gaelic,اسکاٹ لينڈ کي کيلٹ نسل
gaff,انکڑا ـ مجھلي مارنے کا برچھا
gaffer,بڑے مياں ـ بوڑھا چوهدري
gag,منه بند کرنا ـ زنان بندي کرنا ـ منه ميں کبڑا ٹھونسنا ـ دھوکا دينا
gage,کوئي چيز گرو کرنا ـ ضمانت ـ مکفول کرنا
gager,ضمانت ميں رکھانے والا
gaggle,کٹ کٹ کي آواز نکلنا
gaiety,دل لگي ـ چهل ـ خوش طبعي ـ زرق برق ـ رنگ رلياں
gaily,خوش طبعي سے ـ نماهش سے
gain,حاصل کرنا ـ پانا ـ جيتنا ـ سبقت لے جانا ـ جيتنا ـ کامياب هونا ـ نفع ـ ترقي
gainable,حاصل کرنے کے قابل
gainer,حاصل کرنے والا
gainful,مفيد ـ سود مند
gainless,بے فائده ـ لا حاصل
gainsaid,انکار ـ رد
gainsay,انکار کرنا ـ رد کرنا ـ ترديد کرنا
gainsayer,رد کرنے والا ـ ترديد کرنے والا ـ مخالفت کرنے والا
gainsaying,ترديد ـ مخالفت
gait,رفتارـ چال ـ روشن
gaiter,موزه ـ جواب ـ ساق و پوش
gala,جشن  ـ تقريب ـ عيد ـ تهوار
galaday,خوشي کا دين
galaxy,کهکشاں ـ ستاروں کا جھومٹ ـ ناکي لوگوں کا مجمع ـ حسينوں کا مجمع
galdly,شاداں و فرحاں
gale,تند هوا کا جھونکا ـ نسيم سحري
galen,مذاق کے طور پر طبیب حاہق ۔ جالینوس ۔
galena,کان سے نکالا هوا کچه سيسه
galenic,جڑي نوٹي کي
galilee,کرجا کا برآمده
galingale,خولنجان ـ پان کي جڑ
galipot,ايک قسم کا تاڑھا تارپين
gall,رگڑنا ـ دق کرنا ـ ستانا ـ ناک ميں دم کرنا ـ ذليل کرنا ـ خفيف کرنا
gallant,پر تکليف ـ خوش لباس ـ شاندار ـ پر شوکت ـ شجاع ـ عاشق مزاج
gallantly,مردانه ـ عاشقانه ـ جانبازي
gallantry,جونمردي ـ عالي همتي ـ بهادري ـ بلند همتي
gallery,لمبا کمره ـ لمبا برآمده ـ غلام گردش
galley,پرانے زمانے کا جنگي جهاز ـ چھابے کے حروف کا تخته
gallic,فانسيسي ـ باشندوں گال کے متعلق
galling,سخت ناگوار ـ پريشان کن ـ تکليف ده
gallipot,مٹي يا چيني کے برتن ـ کليا
gallivant,آواره گردي کرنا ـ آواره پھرنا
gallivanter,آواره کردي کرنے والا
gallo,فرانس کا ـ فرانس کے متعلق
gallomania,فرانسيسيسي چيزوں کا خبط
gallomaniac,فرانسيسي چيزوں کا ديوانه
gallon,ايک انگريز ي ناپ
galloon,سوتي ـ ريشمي ـ پٹکه ـ پيٹي
gallop,پوري تيزي سے ـ سرهٹ
galloper,سرهٹ دوڑنے والا
gallophobia,جو فرانس سے خاهف هو
galloway,جھوٹے قد کا گھوڑا ـ ٹانگن
gallows,پھانسي ـ پھانسي کا تخنه ـ ورزش کا تخته
galop,ايک تيز انگريزي ناچ
galore,کثرت سے ـ بهتاب سے ـ فروائي
galosh,جوتوں کے اوپر پهننے کے ربر کے موزے
galvanic,بجلي پيدا کرنے کے متعلق ـ بر وقت ـ بتاوٹي
galvanisediron,لوها جس پر جست کي قلعي هو
galvanism,برقي قوت جو کيميا ئي عمل سے حاصل کي جائے
galvanization,قلعي ـ ملمع سازي
galvanize,کيمائي عمل سے بجلي کي قوت پيدا کرنا
galvanizer,ملمع ساز
gambit,شطرنج کي چال
gamble,قمار بازي ـ جوا کھيلنا
gambler,قمار باز ـ جواري
gamboge,سيام اور کمبوٹيا کے درختوں سے نکالا هوا گوند جو پيلا رنگ کرنے متيں کام آتا هے
gambol,کودنا ـ کھيلنا
game,تفريح ـ سير ـ کھيل ـ برد ـ شکار ـ کام ـ دليد ـ بهادر
gamely,همت سے ـ بهادري سے
gamer,جوا کھيلنے والا
gamesome,چنچل ـ خوش طبع
gamesomely,شوخي سے ـ خوش طبعي سے
gamesomeness,خوش طبعي ـ شوخي
gamester,شکاري
gaminghouse,قمار خانه ـ جوا خانه
gamma,يوناني حروف تهجي کا تيسرا حروف
gammon,سور کي نمک لگي هوئي خشک ران ـ دغا کرنا ـ دھوکا کرنا ـ فريب
gamut,سرگرم
gamy,شکار سے بھرا هوا ـ جري باهمت
gander,بے وقوف ـ ساده لوح
gang,جتھا ـ گروه طاهفه ـ محفوظ ـ مضبوط کرنا
ganger,قليوں کا جمعدار
gangetic,دريائے گنگا کا
ganglion,نس کا ورم ـ محور
gangrene,فساد ـ نسيج ـ سڑا هوا
gangrenous,ناسور دار ـ گلا هوا ـ سڑا هوا
gangway,راه ـ تنگ راسته ـ گزر گاه
ganja,گنجا
gaol,قيد خانه ـ جيل خانه ـ قيد ـ قيد کرنا ـ جيل ميں ڈالنا
gaoler,قيد کرنے والا
gap,خندق ـ کھائي ـ درز
gape,جمائي لينا ـ منه کھولنا ـ هکا بکا ره جانا
gaper,جمائي لينے والا
gapped,شق ـ شگاف دار
gappy,شق ـ شکاف دار
garage,گاڑياں کھڑي کرنے کي عمارت
garb,لباس ـ پوشاک  ـ بھيس
garbage,اوجھڑي ـ آلائش ـ فحله ـ کوڑا کرکٹ ـ فحش کتابيں
garble,تحريف کرنا ـ چن لينا ـ بد دينتي سے افتباس کرنا
garbler,تحريف کرنے والا
garden,پھلواڑي ـ باغ ـ گلشن ـ شاداب ـ خطه
gardened,باغ بنايا هوا ـ چمن والا
gardener,مالي ـ باغبان
gardenia,گل چاندني ـ موگرا
gardening,باغباني ـ باغ لگاناـ مالي کا کام
gargantuan,ديو قامت ـ جسيم
gargle,غراره کرنا
gargler,غراره کرنے والا
gargoyle,ايک اطالوي وطن پرست رهنما
garibaldi,ايک اطالوي وطن پرشت رهنما
garish,بھڑکيلا ـ چمکدار ـ نمائشي
garishness,چمک ـ دکھاوا
garland,هار ـ پھول مالاـ گلدسته ـ گجرا
garlic,لهسن
garlicky,لهسن پڑا هوا
garment,کپڑے ـ لباس ـ پوشاک ـ جوڑا
garner,غلے کا گودام ـ کھته
garnet,ياقوت ـ لعل ـ تامڑا
garnish,سنوانا ـ آراسنه کرنا ـ سنگارنا ـ کھانے کي پليٹيں سجانا
garnishable,آراسته کرنے کے قابل
garnishment,کھانے کي رکابيوں کي سجاوٹ
garniture,حاشيه آرائي ـ زيبائش íـ لباس
garret,اوپر کي منزل کا کمره ـ سر ـ دماغ
garrete,ديوار بناتے وقت چھوٹے چھوٹے پتھر ديوار ميں لگانا يا بھرنا
garrison,قلعه کي فوج
garrote,گلا گھونٹنے کا آله
garroter,گله کھونٹنے والا
garrotte,گلا گھونٹنے کا آله
garrulous,بکواس ـ بک بک کرنے والا
garter,موزه کا بنک يا فيته ـ لچکدار ـ پٹي
gas,گيس
gasbag,شيخي باز
gasconade,شيخي ـ لاف گذاف ـ ٹينگ مارنا
gaseous,گيس والا ـ گيس کي طرح
gash,گهرا زخم ـ کاري زخم
gasification,گيس کي شکل دينا
gasify,گيس کي شکل دينا
gasket,چھوٹي رسي
