d,انگريزي حروف تهجي  کا چوتھا حرف
dab,برش کرنا ـ پچاره پھيرنا
dabble,گيلا کرنا ـ تر کرنا ـ پاني ميں کھيلنا
dabbler,نيم حکيم ـ اناڑي ـ کيچر پاني ميں کھيلنے والا
dabchik,مرغابي
dabster,ليپنے والا ـ بھدا روغن کرنے والا
dace,چھوٹي دريائي مچھلي
dacoit,ڈاکو
dacoity,قزاقي ـ ڈکيتي
dactyl,شعر کا ايک وزن
dactylogi,انگليوں کے ذريعے بات چيت کرنا
dad,والد ـ ديدي ـ پاپا
dada,والد ـ ڈيڈي
daddy,ڈيڈي ـ دادا
daffodil,آبي نرگس
daft,خبطي ـ پاگل ـ بے وقوف
dagger,حواله دينے کا نشان ـ چھري
daggle,گيلي زمين پر گھسيٹناـ آلوده کرنا يا هونا
daily,روزانه ـ لگاتارـ روزمره
dainty,خوش ذائقه ـ مزيدار
dairy,دودھ کي دکا€
dais,چبوترا ـ شه نشي€
daisy,ڈيزي ـ گل بھاري
dale,دره ـ وادي
dalesman,دره کا آدمي
dalliance,ناز و نياز ـ رنگ رلياں
dally,مٹر گوشت کرنا ـ ٹال مٹول کرنا
dam,پشته ـ بند ـ روک
damage,خصاره ـ ضررـ نقصا€
damageable,خسسا رے کے قابل
damager,خساره کرنے والا
damaging,نقصا€
damask,دمشقي تلوار ـ دمشقي گلاب
dame,بانو ـ بيگم ـ خاتو€
damn,جھنم و اصل کرنا ـ لعنت کرنا ـمردود ٹھرانا
damnable,لعنت ملامت کے قابل
damnation,دوزخ کا عذاب ـ لعنت بھيجو
damp,ايک قسم کي گيس ـ سانس بند کرنا ـ خفا کرنا
damper,خفا کرنے والا ـ افسرده کرنے والا
dampness,نمي ـ تري
damsel,دوشيزه ـ کنواري
damson,آلو بخارا
dance,ناچناـ رقص کرنا
dancer,رقص کرنے والا
dancing,رقصـ ناچ
dandelion,ککروندا
dander,بد مزاجي ـ ناراضگي ـ خفگي
dandle,پيار کرنا ـ بچے کو گود ميں اچھالنا
dandler,پيار کرنے والا
dandling,پيار
dandriff,سر کي خشکي ـ بفا
dandy,خوش لباس
danger,ڈر ـ خطره ـ خوف ـ خدشه
dangerous,خطرناک ـ مهلک ـ هولناک
dangle,لٹکا ـ جھولناـ جھومنا
