k,انگريزي حرقف تھجي کا گيارھواں حرف
kaama,جنوبي افريقه کا باره سنگھا
kabbalah,يهوديوں کي قديم روايات
kaddish,يهوديوں کي ماتمي دعا
kadi,قاضي
kaffir,افريقي قبيله بنثو کا فرد
kafir,کافر
kail,ايک قسم کي بند گوبھي
kaiser,قيصر ـ شھنشاه جرمن
kale,ايک قسم کي بند گوبھي
kaleidoscope,ايک کھلونا
kaleidoscopical,متواتر متغير پونے والا ـ عکس بين کي مانند
kalends,يکم ـ غره
kali,تلي ـ سجي ـ ايک پودا
kalifate,خليفه
kalong,سب سے بڑي چمگادڑ
kama,کام ديو ـمحبت کا ديوتا ـ تير چلانے والا
kangaroo,کينگرو
kangarooclosure,کسي کمپني کے صدر کا اپني مرضي سے ترميمات کي اجازت دينا
kangaroorat,آسٹريليا کا ايک چھوٹا تھيلي دار جانور
kantian,جرمن فلسفي کانٹ کے متعلق
kantism,جرمن فلسفي کانٹ کے نظريات
kapok,ايک عمده قسم کي روئي
karaite,يهوديوں کا ايک فرقه
karma,بدھ مت کا عقيده
kaross,جانور کي کھال کي پوشاک جس پر پورے بال هوں
kartel,بيل گاڑي ميں ليٹنے اور سونے کا تخته
kashmir,کشمير
katabolism,جاندار مادے کا چھوٹے عناصر ميں تبديل هونا
kauri,نيوزي لينڈ کا ايک درخت
kaw,کائيں کائيں کرنا
keck,قے کرنے کي آواز پيدا کرنا ـ قے کرنا
keckat,کھانے سے جي متلانا
kedge,جھاز کا رخ بدلنا
kedgeree,کھچڑي ـ ايک انگريزي کھانا
keel,جھاز کا تلا
keelless,بے پيندے کا جھاز
keen,آرزو مند ـ شوقين ـ نوک دار ـ شائق
keenly,زبردستي ـ سختي
keenness,شدت ـ شوق ـ ذھانت
keenset,ضرورت سے زائد حاجت مند
keep,لحاظ  کرنا ـ نظر کرنا ـ رکھنا  ـ اپنے پاس رکھنا ـ ديکھ بال کرناـ رسم ادا کرنا ـ روکنا
keepable,قابل پرورش ـ کفايت کے قابل
keeper,رکھنے والا ـ دربان ـ پاسبان ـ انگھوٹھي
keeping,داشت ـ قبضه ـ نگراني ـ حفاظت
keepsake,نشاني ـ يادگار
keg,هيپا جس ميں دس گيلن شراب کي گنجائش هو
kelpie,دریائی بھتنا ۔
kemp,بالوں والي اون ـ موٹي اون
ken,جاننا ـ پهچاننا ـ دور سے ديکھنا
