a 1,نهايت اعليٰ ـ بهترين
a-bomb,جوهري بم
a,انگريزي حروف تحجي کا پهلا حرف
aardvark,جنوبي افريقه کا سور کي قسم کا مور خور جانور
aardwolf,جنوبي افريقه کا لگڑ بگڑ کي قسم کا گوشت خور جانور
aaronic,حضرت هارون کے متعلق جو يهود کے مفتي اعظم تھے يا ان کے عهد امامت کے متعلق
aasvogel,جنوبي افريقي گدھ ـ کرگس
ab,پانچواں کليساهي اور گيارهواں موسوي مهينه
aback,وه حالت جب هوا کے دباؤ سے باديان مستول سے چمٹ جاتے هيں اور جهاز آگے نڑھنے سے روکتے هيں پست کے جانب ـ پيچھے کو
abacus,بال فريم ـ گنتارا ـ ايک چوکھٹا جس ميں تاروں پر گولياں هوتي هيں ـ گنتي سکھانے کا آله ـ شمار آموز
abaddon,دوزخ ـ جهنم ـ ابليس
abaft,جهاز کے پچھلے حصے کي طرف ـ سکان رخ
abandon,چھوڑ دينا ـ هاتھ أٹھانا ـ دست بردار هونا ـ دست کشي کرنا ـ دعوي چھوڑ بيٹھنا
abandoned,آواره ـ بدمعاش
abandonment,ترک ـ دست کشي ـ تياگ ـ دست برداري
abase,ذليل کرنا ـ بے عزت کرنا ـ خفيف کرنا
abasement,ذلت ـ خواري ـ بے قدري ـ تحقير ـ خفت
abash,شرمنده هونا ـ شرمشار کرنا ـ خجل کرنا ـ شرمانا ـ پاني پاني هونا
abashment,خجالت ـ شرمندگي ـ شرمساري ـ شرم
abate,کم کرنا ـ تخفيف کرنا ـ کم هونا ـ مدھم پڑھنا
abatedarms,وه تلواريں يا نيزے جو کند هونے کي وجه سے معرکه آراهي کے قابل نه هونا
abatement,کمي ـ گتھاؤ ـ تخفيف ـ کٹوتي
abatis,درختوں کو گرا کر ايسا مورچه بنانا که شاخوں کا رخ دشمن کے جانب هو تاکه دشمن فوجي نقل و حرکت کا پته نه چل سکے
abattoir,مسلخ ـ مذبح
abb,جولاهے کا تانا بانا
abba,والد ـ ابا ـ آسماني باپ
abbacy,صاحب خانقاه يا دير کا منصب يا زمانه توليت
abbe,فرانسيسي شهري جن کو مذھبي لباس پهننے کا حق ھو ليکن اس کے ذمے کوهي فرض منصبي نه ھو
abbesses,راهبه ـ راهبات کي افسر اعلي
abbey,خانقا ـ دير ـ کليسا ـ گرجا
abbreviate,اختصار کرنا ـ خلاصه کرنا ـ چھوٹا کرنا
abbreviation,اختصار ـ کمي
abderian,يونان کے شهرابديرا کے باشنده
abdicate,تخت چھوڑنا ـ دست بردار هونا ـ حق چھوڑ بيٹھنا ـ علهده هونا
abdication,دست برداري ـ علهيدگي
abdomen,شکم ـ پيٹ ـ کيڑے مکوڑوں کا پچھلا حصه
abdominal,پيٹ کا ـ معده کا ـ يکم کا
abdominous,بڑے پيٹ والا ـ موتا ـ توندل
abduct,اغواه کرنا ـ بھگا لے جانا ـ کسي عضو کا اسکے فطري مقام سے کھينچنا يا بڑھانا
abduction,اغواه ـ قياس احتمالي ـ زخم کے کناروں کي سکڑن
abductor,مغوي ـ اغواه کرنے والا ـ زخم کو سکيڑنے والي نس
abeam,عرضا ـ جهاز کے طول سے زاويه قاهمه بناتے هوے
abed,بستر پر ـ پلنگ پر ـ سوتا هوا
abele,سفيده درخت
aberate,بھٹکانا ـ گمراه هونا
aberrance,گمراهي ـ فساد
aberration,چوک ـ کجروي ـ مغالطه ـ قاعده کي خلاف ورزي ـ خلل دماغ
abet,اعانت کرنا ـ مدد کرنا
abetment,ارتکاب جرم ميں اعانت کرنا
abetter,معاون جرم ـ مددگار جرم
abeyance,التوا ـ تعطل
abhor,نفرت ـ کراھت ـ حقارت سے ديکھنا ـ گھن کرنا
abhorrence,نفرت ـ کراھت ـ چڑ ـ حقارت
abhorrent,مکروه ـ گھناؤنا ـ قابل نفرت
abhorrer,نفرت کرنے والا
abide,موسوي سال کا پھلا مهينه ـ بنا رهنا ـ برقرار رھنا ـ ناقي رهنا ـ مستقل رهنا ـ برداشت کرنا ـ ضبط کرنا ـ تسليم کرنا
abiding,پائدار ـ دوامي ـ مستقل ـ ديرپا
abidingly,دواما ـ مستقل طور پر
abigail,خواص ـ پيش خدمت ـ نوکراني
ability,قابليت ـ صلاحيت ـ قوت ـ اختيار ـ مقدور
abintestate,کسي مرنے والے کي وراثت حاصل کرنا جو بلا وصيت انتقال کر گيا هو
abiogenesis,بے جان مادے سے جاندار کا پيدا هونا ـ خود بخود پيدا هونا
abiogenist,خود زاني کا عقيده رکھنے والا
abject,کمينه ـ ذليل ـ پست
abjection,تذليل ـ تحقير ـ کمينگي
abjectly,کمينگي سے ـ رذالت سے ـ فرومانگي سے
abjectness,ذلت خواري ـ کمينه پن ـ رذالت
abjuration,سوگند ـ حليفه دست برداري ـ دعوي سے دست بردار ھونا
abjure,حلف پر دست بردار هونا ـ توبه کرنا ـ ترک وطن وحلف پر دست بردار هونا ـ ترک وطن هونے کي قسم کھانا
ablactation,دودھ بڑھاهي ـ دودھ چھٹاهي
ablation,علحيدگي کرنا ـ کاٹنا ـ نکالنا
ablative,مفعول له ـ اسم کي اخراجي حالت
ablaut,انڈو يورپي زبان ميں لب و لهجه کے فرق کي وجه سے حرف علت ميں تبديلي
ablaze,جلتا هوا ـ فروزاں ـ دھکتا هوا ـ بھڑکتا هوا ـ مشغل
able-bodied,مضبوط جسم والي ـ قوي
