v,انگريزي حروف تھجي کا بائيسواں حرف ـ وي
vacancy,خلا ـ بے کاري ـ بے فکر ـ غافل ـ بے معني
vacant,بے کار ـ غير آباد ـ خالي ـ بے کار
vacatable,منسوخ کرنے کے قابل
vacate,منسوخ کرنا ـ قبضه اٹھانا ـ خالي کرنا
vacation,وقفه ـ مهلت ـ فراغت
vacationer,خالي کرنے والا
vaccinal,ٹيکه کا ـ ويکسين کا
vaccinate,چيچک کا ٹکه لگانا
vaccination,چيچک بر آري
vaccinationist,ٹيکه لگانے کا حامي
vaccinator,ٹيکه لگانے والا
vaccine,گائے کا ـ چيچک کو دوا کا
vaccinia,چيچک جو ٹيکه لگانے سے ابھاري جاتي هے
vaccinial,ٹيکه کا
vacillate,جھومنا ـ لهرانا ـ ڈھلنا ـ ادھر ادھر هلنا
vacillation,تذتذب شش و پنج
vacillator,جھومنے والا ـ لهرانے والا
vacuole,کسي عضو کا باريک جوف
vacuous,خالي ـ هوا سے خالي ـ خالي دماغ
vacuum,خلا ـ بالکل خالي جگه ـ هو ا سے خالي
vacuumbrake,خلا روک ـ وه پرزه جس سے گاڑي رکتي هے
vacuumflask,بوتل جس کے دوھرے حصے ميں خلا هو جوس ميں دير تک چيز ٹھنڈي يا گرم رهتي هے
vagabond,آواره گرد ـ خانه بدوش
vagabondage,آواره گرد لوگ ـ آواره گردي
vagabondish,آواره مزاجي
vagabondism,آواره گردي
vagabondize,آواره گرد بنادينا
vagary,ترنگ ـ موج ـ وهم ـ انوکھي حرکت
vagina,غلاف ـ نيام ـ فرج ـ رحم کا راسته
vaginal,غلاف نما ـ فرج کے متعلق
vaginitis,فرج کي سوزش
vagrancy,پريشان دماغي ـ خانه بدوشي
vagrant,خانه بدوش ـ پريشان خيال
vagrantly,آواره گرد کي طرح
vague,مبهم ـ گول مول
vaguely,غير واضع طور پر
vagueness,پرشان خيالي
vail,بخشش ـ انعام ـ کسي ناجائز کا م  کا انعام
vain,خالي ـ تهي ـ بے بنياد ـ بے حقيقت
vainglorious,خود پسند
vainglory,لاف زني
vainly,خود پسندي سے
vainness,بے کار هونا ـ بے حقيقت هونا
valance,پردوں کا جھالر دار کپڑا ـ کيمياوي متزاج
valanced,جس ميں پردے لٹکتے هوں ـ پردوں سے مزين
vale,دامن کوه ـ دره ـ الوداع ـ خدا حافظ
valediction,خدا حافظ کهنا ـ الوداع کهنا
valedictory,امريکه ڈگري لينے کے بعد طالب علم کي الوداعي تقرير
valence,پردواں کا جھالر دار کپڑا
valentine,معشوق ـ شوق نامه
valerian,ايک پودا جس کي پتياں دوا کيطور پر استعمال کي جاتي هيں
valet,خانساماں ـ پيش خدمت
valetudinarian,جنم روگي ـ دائم المريض
valetudinary,صحت کي طرف سے فکر مند
valhalla,قصرا شهدا ـ ايوان ارواح
valiant,بھادرانه ـ مردانه ـ شجاع
valiantly,جرات سے ـ مردانه وار
valid,مضبوط ـ درست ـ ضابطه کے مطابق ـ قانونا مکمل
validate,جائز قرار دينا ـ توثيق کرنا
validation,درستي ـ جواز
validity,درستي ـ صحت
validly,صحيح طور پر
valise,سپاهيوں کا تھيلا
valley,وادي ـ گھائي ـ دامن کوه
vallum,فصل ـ ديوار ـ پشته
valor,شجاعت ـ بھادري
valorization,قيمت کا تعين
valorize,سرکاري طور پر کسي چيز کي قيمت مقررکرنا
valorous,بھادر ـ دلير
valorously,دليرانه
valour,شجاعت ـ بھادري
valse,والز ناچنا
valuable,گراں بھا ـ بيش قيمت ـ قيمتي چيز
valuation,قيمت کا اندازه ـ تخمينه ـ ماليت
value,وصف ـ خوبي ـ قيمت ـ ماليت ـ قيمت کا تعين کرنا ـ دام لگنا
valueless,بے قيمت ـ بے وصف
valuelessness,نکما ـ ناکاره هونا
valuer,قيمت لگانے والا
valvate,جھلي دار ـ مسام دار
valve,در ـ ديرچه ـ رسته ـ سوراخ کا ڈھکن
valvelet,چھوٹا سوراخ ـ چھوٹا مسام
vambrace,دست پوش زره ـ ساعد پوش زره
vamose,امريکي بول چال فرار هونا ـ بھاگ جانا ـ بھاگ چلو
vamp,پيوند لگانا ـ جوڑ لگانا
vamper,پيوند لگانے ولا
vampire,بھوت ـ خونخوار بلا ـ دوسروں کا خون پينے والا
vampirism,خونخوار بھوتوںکا عقيده
vamplate,آهني تختي جو هاتھ کي حفاظت کيلئے چھڑ پر لگتي رهتي هے
van,فوج کا اگلا دسته ـ گاڑي ـ چھکڑا
vanadium,ايک فلزي عنصر
vandal,وحشي ـ سنگدل ـ خانه بدوش
vandalic,برباد کناں
vandalism,هراچھي چيز کو تباه کر دينا
vandyke,مشهور ولنديزي مصور
vandykebeard,تکيلي داڑھي
vane,باد نما ـ سمت نما ـ مرغ باد نما
vanilla,ايک خوشبو
vanillism,هاتھوں کي خارش جو وينيلا کے کارخانے کے مزدوروں کو هوجاتي هے
vanish,معدوم هوجانا ـ غائب هوجانا
vanisher,معدوم هونے والا ـ غائب هونے والا
vanity,هلکا پن ـ چھچھورا پن ـ تمرد
vanitybag,عورتوں کا سنگار بٹوا
vanitycase,عورتوں کا سنگار بٹوا
vanityfair,مايا کا کھيل ـ دينا کي بوالعجبياں
vanquish,فتح پانا ـ فتح کرنا ـ غالب آنا
vanquisher,فتح پانے والا ـ غالب آنيوالا
vantage,تفوق ـ برتري
vapid,بے لطف ـ خشک ـ بد مزه
vapidity,بے لطفي ـ پھيکا پن
vapidly,بد مزگي سے
vapor,جو بھاپ بن سکے
vaporiferous,بخارات پيدا کرنے والا
vaporific,تبخيري
vaporise,بھاپ بنانا ـ بھاپ بننا
vaporization,جو بھاپ بن سکے ـ عمل تبخير
vaporize,بھاپ بنانا
vaporizer,بھاپ بنانيوالا
vaporose,بخارات سے معمور
vaporous,خام خيال ـ بخاراتي
vapour,بخار ـ دھواں ـ بھاپ ـ کهر ـ بخارات ـ بے بنياد يا فاني چيز ـ بے معني گفتگو ـ تبخير هونا
vapourer,شيخي باز ـ لاف زن
vapourish,جسے خلل دماغ هو
vapoury,تنک مزاج ـ بخارات سے پر ـ کهريلا
vapulation,کوڑے کھانا ـ کوڑے مارنا
vaquero,گواليه گله بان
varangian,مشرقي بادشاهيوں کے محافظ دسته کا سپاهي ـ ناورے کا ڈاکو
vare,عصاے اقتدار
varec,سوڈا جو صاف نه کيا گيا هو
variability,ناپائداري ـ تغير
variable,بدلنے والاـ تغير پذير ـ گھٹنے بڑھنے والا
variably,تبديل هوتے هوئے
variance,تغير ـ تبديلي ـ عدم مطابقت
variant,بدلنے والا ـ الگ ـ جدا
variation,کمي بيشي ـ اختلاف ـ تعريف
variational,اختلافي
varicated,صدف جس کے چکروں ميں ابھار هو
varicella,جديري ـ کھسرا ـ ستيلا
varicocele,گلٹي جو رگوں کے پھولنے کي وجه سے بن جاتي هے ـ آنت کا بڑھ جانا
varicoloured,رنگ برنگي ـ رنگ برنگي کا
varicose,پھولي هوئي رگ  ـ بڑھتي هوئي رگ
varicosed,بڑھتي هوئي
varicosity,رگ کا بڑھ جا نا ـ رگ کا سوج جانا
variegate,مختلف رنگوں سے بوقلموں بنانا
variegation,بوقلموں ني ـ گوناگوں هونا  ـ رنگ برنگ هونا
variety,رنگ برنگي ـ انواع و اقسام فرق
variform,مختلف شکلوں کا
variola,چيچک
variolation,چيچک کا ٹيکه
variole,چيچک کاداغ
variolite,ايک پتھريلي چٹان جس ميں سفيد چتياں هوتي هيں
varioloid,کمزور چيچک ـ چيچک کي طرح کي
variometer,وه آلي جس سے مقناطيسي قوتوںکي پيمائش هوتي هے
various,گونا گوں ـ مختلف ـ طرح طرٰح کا
varix,رگ کا پھل جانا ـ گھونگھے کے چکروں ميں ابھار
varlet,خدمتگار ـ امير کا ماتحت
varmint,شرير جانور يا آدمي
varnish,رنگ روغن ـ چمک دمک ـ ملمع
varsity,جامعه
varus,ايک بيماري جس ميں پير اندر کو مڑ جاتا هے ـ منه پر مهاسے نکلنے کي بيماري
vary,بدلنا ـ تبديل کرنا ـ گھٹانا بڑھانا ـ رنگ برنگي کرناـ مختلف هونا
vascular,رگوں يا نسوں سے بھر اهوا ـ رگوں کا
vascularity,رگدار هونا
vascularize,رگ يا عرق پيدا کرنا
vasculose,پودوں کے ريشموں کا عرق
vasculums,نمونه دان ـ مرد کا عضو تناسل
vase,لمبا گول برتن
vaseflower,گلدان ـ پھول سجانے کا آرائشي ظرف
vaseline,ايک قسم کا خوشبودار گاڑھا روغن
vasepainting,گلدان کي نمائش
vassal,ملازم ـ نوکر ـ چاکر
vassalage,اسامي هونا ـ لگانداري
vast,وسيع ـ کشاده ـ دور تک پھيلا يوا
vastness,فراخي ـ عظمت
vat,حوض ـ کنٹه
vatican,روم کے پاپا کي بارگاه
vaticinate,غيب کي خبر دينا ـ پيشن گوئيکرنا
vaudeville,ايسا ناٹک جس ميں بھت گانے اور ناچ هوں ـ هفت رنگي تماشا ـ عوام کئ پسنديده گيت
vault,قبه ـ گنبد ـ تهه خانه
vaulted,قسي ـ محرابي
vaulting,محرابوںکا مجموعه
vaunt,لاف گراف ـ ڈينک ـ لاف زني کرنا
vaunter,لاف زني کرنيوالا
vauntful,لاف زن
vauntingly,شيخي سے ـ لاف زني سے
vavasour,ٹھيکيدار ـ زميندار جو سرکار سے لگان پر زميں لے کر کاشتکاروں کو پٹه پر ديتا هے
veal,بچھڑے کا گوشت
vealy,بچھڑے کے گوشت کا سا
vector,ايک فرضي خط جس کا طول اور جس کي سمت معين هو ـ جراثيم جو مرض کو پھيلاتے هيں
veddah,لنگا کي ايک قديم قوم کا فرد جو جنگلوں ميں رهتا هے
