q,انگريزي حروف تھجي کا سترھواں حرف
qua,جيسا که ـ به حيثيت
quab,ايک قسم کي روسي مچھلي جھينگا
quack,قيين قين کرنا ـ بطخ کي طرح آواز نکالنا
quackery,نيم حکيمي ـ عطائي علاج
quackish,اناڑي ـ غير مستند
quad,چوکو ر شکل ـ چوپايه
quadragenarian,وه شخص جس کي عمر چاليس سا هو
quadragesima,چاليس دن کے دوزے
quadragesimal,عيسائيوں کي اربعيوں کا
quadrangle,چو وشه شکل ـ چار زاويه شکل
quadrangular,چهار پهلو ـ چو گوشه
quadrant,چوتھا حصه
quadrantal,ربع دائره کي شکل والا
quadrat,دھات کا ٹکڑا
quadrate,مطانق هونا ـ موافق هونا ـ برابر هونا ـ ٹھيک ھونا ـ مربع ـ چو گوشه
quadratic,مربع کا ـ دوم درجے کي مساوات
quadrature,نود درجے کے زاویہ کا فاصلہ ۔ مربع پن ۔
quadrennial,چار ساله ـ چار سال بعد
quadribe,چار حصوں ميں منقسم
quadric,دوسرے درجے کي مربع سطع
quadricentennia,چار سو ساله
quadrifoliate,چو پتيا
quadriga,چار اسپي گاڑي ـ چو گھوڑ رتھ
quadrilingual,چو بولي ـ چهار لساني
quadrille,چار جوڑوں کا مربع ناچ ـ تاش کا ايک کھيل
quadrillion,کھرب در کھرب
quadroon,دوغلي اولاد
quadrumanous,چار هاتھ والا ـ چهار دست
quadruped,چار پاؤ والے
quadrupedal,چار پاؤ ں والے
quadruple,چوگنا ـ چوگرا ـ چار تهه والا
quadruplet,ايک وقت ميں کسي عورت کے چار بچے پيدا هونا
quadruplicate,جو چوگنا کيا گيا هوـ چار يکساں نمونے
quadruplication,چوگنا
quadruplicity,چوگنا پن
quadruply,چوگنا گرتے هوئے
quaff,بڑے بڑے گھونٹ پينا ـ ايک سانس ميں پي جانا
quag,دھنس جاني والي جگه
quaggy,هلنے والي ـ دلدلي
quagmire,دلدل
quail,بٹير ـ لوا
quaint,عجيب ـ انوکھا ـ نازک
quaintly,نزاکت سے ـ باريکي سے
quaintness,نرالا ـ انوکھاپن
quake,لرزنا ـ کانپنا
quaker,انجمن احباب کا رکن
quaky,هلتي هوئي ـ لرزاں
qualification,هنر ـ  قابليت ـ خوبي
qualified,قابل انتخاب ـ مستحق
qualify,استعداد پيدا کرنا ـ صفت سے متصف کرنا ـ ضروري اهليت يا صفات پيدا کرناـ قابل انتخاب بنانا
qualitative,کيفيت کے متعلق ـ ماهيت کے بارے ميں
quality,خوبي ـ اچھائي ـ خصوصيات
