e,انگريزي حروف تهجي کا پانچواں حرف
each,هر ـ هر ايک ـ ايک ايک
eager,خواهشمند ـ متمني ـ شوقين
eagerly,سرگرمي سے ـ شوق سے
eagle,عقاب
eaglet,عقاب کا بچه
ear,کان ـ قوت سامعه
earache,کان کا درد
eardrop,کان کا قطره
earl,انگلستان کے تيسرے درجے کا امير
earldom,نوابي ـ ارل کا درجه
early,پهلے کا ـ هروقت ـ سويرے ـ ابتدائي
earmark,جانوروں کے کان پر بنايا هوا نشان جو مالک کا پته دے ـ علامت ـ نشاني
earn,سزا وار هونا ـ لائق هونا ـ پيدا کرنا ـ کمانا ـ حاصل کرنا
earnable,حاصل کرنے کے قابل
earner,حاصل کرنے والا
earnest,زرپيشگي ـ بيعانه ـ سائي
earnestness,سنجيدگي ـ مستعدي
earning,اجرت ـ تنخواه ـ کمائي
earphone,ائير فون
earring,مرکي ـ بالي
earth,دھرتي ـ زمين ـ مٹي ڈالنا ـ زمين دوز کرنا ـ دبانا
earthen,مٹيالا ـ خاکي ـ مٹي کا
earthenware,مٹي کے برتن
earthly,دنياوي ـ ارضي
earthquake,زلزله ـ انقلاب
earthworm,حشرت الارض
earthy,مٹي کا
ease,درد دور کرنا ـ آرام دينا ـ انجن کي رفتار سست کرنا
easeful,آرام طلب ـ آرام ده
easement,حق آسائش ـ کسي دوسروے کي زمين پر راسته کا حق
easer,درد دور کرنے والا
easily,آرام کے ساتھ ـ آساني سے
easiness,چين ـ سکھ ـ سهولت ـ آساني
east,مشرق ـ يورپ کي طرف ـ مشرقي
easter,عيسائيوں کا تهوار
easterly,جانب مشرق ـپروا
eastern,دنيا کا مشرقي حصه
easy,بے غم ـ خوش ـ آرام سے ـ تسکين نخش
eat,کھانا کھانا ـ هضم کرنا ـ چبانا ـ نگلنا
eatable,کھانے کے قابل
eater,کھانے والا
eating,تناول طعام
eatinghouse,کھانے کي جگه
eave,اولتي ـ چھجا
eavesdrop,چھجے کے نيچے بيٹھ کر باتيں سننا
eavesdropper,مخبر ـ جاسوسي کرنے والا
ebb,اتار ـ پاني کا اتار ـ زوال ـ اترنا ـ گھٹنا
ebon,کالا ـ سياه
ebony,آبنوسي
ebriety,متوالا پن ـ مدهوشي ـ سرشاري
ebrious,متوالا ـ شرابي
ebullient,آپے سے باهر هو جانے والا ـ پرجوش ـ ابلنے والا
ebullition,جوش ـ ابال
eccentric,مرکز سے پھرا هوا ـ بے مرکز ـ منحرف المرکز ـ کج رو
eccentricity,نرالا پن ـ بے قاعدگي ـ بے قاعده چال
ecclesiastic,خادم دين ـ پادري
ecclesiastical,متبرک ـ آسماني
ecclesiology,گرجوں کي ساخت اور سجاوٹ کا علم
ecdysis,سانپ کا کي نچلي اتارنا
echelon,فوج کو اس طرح ترتيب دينا
echinite,خارپشت
