p,انگريزي حروف تحجي کا سولهواں حرف
pabulum,خوراک ـ غذا
paccability,گنهگاري ـ خطا کاري
pace,آهسته چلنا ـ قدم قدم چلنا ـ قدموں سے ناپنا ـ قدم ـ گام ـ چال
pacer,قدم قدم چلنے والا
pacha,پاشا
pachal,يهوديوں اور عيسائيوں کے عهد کا
pachyderm,موٹي کھال کا چوپايه
pacicatory,صلح جوشانه ـ امن پسندانه
pacifiable,صلح کرنے کے قابل
pacific,امن پسندي ـ صلح جو
pacifically,امن پسندي طريقے سے
pacification,ٹھنڈا کرنا ـ فرو کرنا ـ مصالحت
pacificizm,امن پسندي ـ صلح پسندي
pacifist,عدم تشدد کا حامي ـ جنگ کا مخالف
pacify,ٹھنڈا کرنا ـ فرو کرنا ـ نرم کرنا ـ صلح کرانا
pack,گٹھري باندھنا ـ بنڈل بنانا ـ کستا ـ تهه کرنا ـ جکڑنا
packable,باندھنے کے قابل ـ کسنے کے قابل
package,گٹھري ـ بنڈل ـ بکس
packdrill,ايک فوجي سزا جس ميں سپاهي کو پورا ساماد لاد کرچلنا پڑتا هے
packer,بنڈل باندھنے والا
packet,چھوٹي گٹھري
packhorse,بار برداري کا گھوڑا
packing,بند کي هوئي چيزيں
packthread,باندھنے کا دھاگه
pact,صلح نامه ـ معاهده
pad,راسته ـ راه ـ خوش خرام گھوڑا ـ چارجامه ـ گدا ـ رضائي ـ گدي بنانا ـ نرم چيز کو بھر کر هموار کرنا ـ پھلوں کے وزن کرنے کي ايک کھلے منه کي ٹوکري
padding,بھرتي کے الفاظ ـ گدي
paddle,ڈنڈا ـ چپو ـ بليچه ـ هاتھ پاؤں مار تيرنا
paddler,چپو چلانے والا
paddock,مينڈک ـ جانوروں کا احاطه
paddy,بن کٹے چاول
padlock,ايک قسم کا تالا ـ قفل
padrone,بحيره روم کے تجارتي جهاز کا کپتان
paen,فتح کا گيت ـ خوشي کا راگ
pagan,پت پرست ـ مظاهر پرست
pagandom,غير اهل کتاب کي دنيا ـ بت پرستوں کا گروه
paganism,مظاهر پرستي ـ تاريک خيالي
paganist,مظاهر پرست
paganize,مشرک بنانا ـ بت پرست بنانا
paganizer,مشرک بنانے والا
page,صفحه ـ مددگار ـ کم عمر وردي پوش ـ پيش خدمت
pageant,پرشکوه منظر ـ تماشه
pageantry,دھوم دھام ـ شاندار تماشه
paginal,صفحوں کے متعلق
paginate,صفحوں پر نمبر درج کرنا
pagoda,مخروطي شکل کا مدور مندر ـ بت
pah,اخ تھو ـ تھوتھو ـ لاحول ولا قوت
paid,ادا کيا هوا
pail,پاني ـ ٹھيلا
pailful,گھڑا بھر
paillasse,پلنگ کا گدا
paillette,چمک دار دھات کا ٹکڑا جو مينار کاري ميں کام آئے ـ چمکي کٹوري
pain,درد ـ دکھ ـ دکھ پهنچانا ـ تکليف دينا ـ ايذا دينا
painful,تکليف رسان ـ پردرد
painfulness,تکليف ده هونا ـ پر درد هونا
painstaking,محنتي ـ جفا کش
paint,رنگنا ـ رنگ چڑھانا
painter,رنگ ساز
painting,نقش ـ شبيه ـ رنگ آميزي
painty,وه تصوير جس ميں بهت زياده رنگ هو
pair,جوڑنا ـ ملانا ـ جوڑا بنانا
pairingtime,جانوروں کا جفتي کھانے کا زمانه
pairoff,دو دو جاؤ
pairwise,جوڑا جوڑا
pajama,پاجامه
pakistan,پاکستان
pakistani,پاکستاني
pal,دوست ـ يار ـ رفيق
palace,محل ـ محل سرا
paladin,بانکا بهادر ـ جيالا رئيس
palankeen,پالکي ـ نالکي
palatable,مزيدار ـ خوش ذائقه ـ لذيذ
palatal,تالو کا
palate,تالو
palatial,محل جيسا
palatinate,نواب پيلے ٹائن کي رياست
palatine,خود مختارانه ـ سمور کا زنانه گلوبند ـ تالو کا ـ تالو کي هڈيوں کے متعلق
palaver,مشوره ـ گفت شنيد ـ افريقه کے ديسي باشندوں کي پنچائيت بکواس
pale,ميخيں ـ جنگلا ـ کٹهرا
paleface,زرد چهره
paleness,زردي ـ پيلا پن
palestine,فلسطين
palestinian,فلسطين کے باشندے
palestra,کشتي لڑنے کي تربيت گاه
paletot,ڈھيلا لباس ـ چغا ـ فرغل
palette,رنگ کي تختي ـ مصور کي تختي
paletteknife,چاقو يا چھري جس سے مصور رنگ ملاتے هوں
palfrey,گھوڑا ـ ٹٹو
palillogy,جملے يا لفظ کي تکرار
palindrome,وه لفظ جو الٹا سيدھا دونوں طرح ايک هو
paling,گڑي هوئي لکڑيوں کا جنگلا
palingenesis,نيا جنم ـ نئي زندگي
palinode,ايک نظم جس ميں شاعر اپني کسي گزشت نظم کے خيالات کي ترديد کرے
palisade,نوکدار لکڑيوں کا باڑا
palish,پيسا سا ـ زردي مائل
pall,جنازے کو اوپر کي چادر
palladian,اينڈي پلاؤ کے طرز کي
palladium,پالاس کا مجسمه
pallet,کمهار کي تھاپي ـ مصور کے رنگ کي تختي
palliate,عذارت پيش کرکے جرم کو هلکا کر دينا ـ تسکين دينا ـ مرض کو کم کرنا
palliation,شديد جرم کو خفيف ثابت کرنا ـ کمي ـ مرض ميں تخفيف
palliative,مسکن دوا ـ تسکين دينے والي ـ جرم کو خفيف کرنے والي
pallid,پھينکا ـ بے رونق ـ زرد
pallidness,پيلا پن ـ بے رونقي
pallium,ايک قسم کا جبه جو اهل علم روم ميں يونانيوں کي تقليد ميں پهنتے هيں ـ علمي خلعت
pallmall,لندن کي مشهور شاهراه ـ ايک کھيل جس ميں گيند کو بلے سے مار کر لوهے کے حلقے سے نکالتے تھے
pallor,زردي جو بيماري کي وجه سے آجاتي هے ـ هلکي زردي
palm,کھجور کا درخت ـ هتھيلي ـ کف دست
palmachristi,بيدا انجير ـ ارنڈ کا درخت
palmar,هتھيلي کا ـ هتھيلي ميں رکھا هوا
palmary,بڑا ـ ممتاز ـ کامل ـ اتم
palmer,ارض مقدس کا زائر جو تبرک کے طور پر کھجور کي شاخ هاتھ ميں رکھتا هے تاکه معلوم هو که اس نے بيت المقدس کي زيارت کي هے ـ راهب درويش
palmetto,چھوٹي کھجوروں کا درخت
palmiped,جھلي دار پيروں والا ايک پرنده
palmist,هاتھ ديکھنے کا ماهر
palmistry,هتھلي کي لکيروں سے قسمت کا حال بتانے کا علم
palmy,کھجور کے درختوں سے بھرا ـ پرنخل
palmydays,عروج کا زمانه ـ خوش حالي کا زمانه
palmyra,تاڑ کا درخت
palpability,محسوسيت
palpable,چھونے کے قابل
palpably,صريح طور پر ـ ظاهر طور پر
palpate,چھو کر معلوم کرنا ـ چھونا
palpation,چھو کر معلوم کرنے کا عمل
palpator,چھونے والا
palpitate,دھڑکنا ـ اچھلنا ـ دھک دھک کرنا
palpitation,دھڑکن ـ اختلاف قلب ـ دل کي دھڑکن
palppalpus,کيڑوں کي مونچھيں جس سے چھو کر کسي چيز کي موجودگي کا پته چلاتے هيں
palsgrave,امير خود مختار ـ خود مختار رئيس
palstave,کانسے کي دار کي کلهاڑي ـ دھات کا ـ پتھر کا اوزار
palsy,وه بيماري جس ميں اعضائ شل هو جاتے هيں
palter,سخن سازي کرنا ـ مکر کرنا ـ گول مول بات کهنا ـ حجت کرنا ـ جھگڑنا
paltriness,حقير هونا ـ بے حقيقت هونا ـ معمولي هونا
paltry,ناکاره ـ بے حقيقت ـ حقير
paludal,دلدلي ـ جهاں موسمي بخار کي کثرت هو
pam,پھول کا غلام جو لو ميں سب سے بڑا پته هوتا هے
pampa,دريائے اميزن کے جنوب کا ميدان
pamper,زياده لاڈ پيار کرنا ـ غير معمولي خاطر مدارت کرنا
pamperedmenial,پيٹ بھر لاپروا نوکر ـ بگڑا هو نوکر
pamperer,زياده پيار کرنے والا
pampero,مغربي تيز تند هوا
pamphlet,رساله ـ کتابچه
pamphleteer,کتابچه لکھنے والا
pan,کڑھائي ـ توا ـ پان کے پتے جو کھائے جاتے هيں ـ لگن
panacea,اکسير اعظم ـ هر مرض کي دوا
panache,پروں کي کلغي ـ طره ـ طمطراق
panama,ايک قسم کي ٹوپي جو درخت کي پتيوں سے بنتي هے
panary,هودان ـ نعمت خانه
panda,هماليائي جنگلوں کا ايک شهزور ريچھ کي قسم کا جانور ـ ريچھ بلاؤ
pandect,کسي علم يا موضوع پر جامع اور مفصل کتاب
pandemic,ايسي وبا جو ايک وسيع علاقے تک پھيل جائے
pandemonium,وه مقام جهاں ظلم ستم کا دور هو
pander,بھڑوا ـ دلال ـ برے کاموں ميں مدد دينے والا
pandiculation,انگڑائي ـ کسمساهٹ
pandora,ستار کي ايک قسم کا ساز
pandorasbox,پنڈورا جنت سے انسان کي دلپسند چيزيں ايک صندوق ميں لاتي تھي وه صندوق کھل گيا اور ساري مصيبتيں دنيا ميں پھل گئي صرف ايک اميد باقي ره گئي ـ پنڈورا ستار کي قسم کا ايک ساز
pandy,هاتھ پر مارنا ـ هاتھ پر ضرب
pane,کھڑکي کے خانه کا شيشه
panegyric,معح ـ تعريف
panegyrist,قصيده گو ـ ثنائ خواں
panegyrize,مدح کرنا ـ تعريف کرنا ـ قصيده لکھنا
